Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0.000000,+120.000,+118.188,+044.1,+0150.0,+0020.0,+000.0
1.077016,+120.000,+118.257,+042.5,+0150.0,+0020.0,+000.0
2.168110,+120.000,+118.295,+042.2,+0150.0,+0020.0,+000.0
3.257021,+120.000,+118.315,+042.0,+0150.0,+0020.0,+000.0
4.381332,+120.000,+118.296,+043.1,+0150.0,+0020.0,+000.0
5.488357,+120.000,+118.262,+043.9,+0150.0,+0020.0,+000.0
6.571177,+120.000,+118.229,+044.8,+0150.0,+0020.0,+000.0
7.646848,+120.000,+118.200,+045.4,+0150.0,+0020.0,+000.0
8.748865,+120.000,+118.184,+045.3,+0150.0,+0020.0,+000.0
9.871667,+120.000,+118.185,+045.5,+0150.0,+0020.0,+000.0
10.947536,+120.000,+118.179,+045.5,+0150.0,+0020.0,+000.0
12.028550,+122.000,+118.184,+095.0,+0150.0,+0020.0,+000.0
13.118500,+122.000,+118.255,+090.2,+0150.0,+0020.0,+000.0
14.213613,+122.000,+118.592,+077.4,+0150.0,+0020.0,+000.0
15.298631,+122.000,+119.230,+057.3,+0150.0,+0020.0,+000.0
16.369646,+122.000,+120.024,+037.0,+0150.0,+0020.0,+000.0
17.449350,+122.000,+120.724,+021.9,+0150.0,+0020.0,+000.0
18.529474,+122.000,+121.191,+013.2,+0150.0,+0020.0,+000.0
19.609387,+122.000,+121.470,+010.4,+0150.0,+0020.0,+000.0
20.679908,+120.000,+121.531,+000.0,+0150.0,+0020.0,+000.0
21.789940,+120.000,+121.421,+000.0,+0150.0,+0020.0,+000.0
22.910253,+120.000,+121.169,+000.0,+0150.0,+0020.0,+000.0
23.980316,+120.000,+120.816,+000.0,+0150.0,+0020.0,+000.0
25.051107,+120.000,+120.416,+000.0,+0150.0,+0020.0,+000.0
26.131784,+120.000,+120.028,+003.7,+0150.0,+0020.0,+000.0
27.221566,+120.000,+119.569,+009.1,+0150.0,+0020.0,+000.0
28.321398,+120.000,+119.048,+015.5,+0150.0,+0020.0,+000.0
29.472032,+120.000,+118.585,+021.4,+0150.0,+0020.0,+000.0
30.542197,+120.000,+118.114,+027.3,+0150.0,+0020.0,+000.0
31.622535,+120.000,+117.697,+032.3,+0150.0,+0020.0,+000.0
32.703471,+120.000,+117.278,+037.5,+0150.0,+0020.0,+000.0
33.832753,+120.000,+116.889,+041.5,+0150.0,+0020.0,+000.0
34.923137,+120.000,+116.617,+044.3,+0150.0,+0020.0,+000.0
36.004115,+120.000,+116.383,+046.8,+0150.0,+0020.0,+000.0
37.083045,+120.000,+116.212,+048.4,+0150.0,+0020.0,+000.0
38.173569,+120.000,+116.122,+048.8,+0150.0,+0020.0,+000.0
39.283753,+120.000,+116.090,+048.9,+0150.0,+0020.0,+000.0
40.354170,+120.000,+116.107,+048.4,+0150.0,+0020.0,+000.0
41.443923,+120.000,+116.142,+047.9,+0150.0,+0020.0,+000.0
42.547943,+120.000,+116.209,+046.7,+0150.0,+0020.0,+000.0
43.634489,+120.000,+116.277,+045.9,+0150.0,+0020.0,+000.0
44.725275,+120.000,+116.350,+045.1,+0150.0,+0020.0,+000.0
45.860696,+120.000,+116.419,+044.2,+0150.0,+0020.0,+000.0
