Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0.000000,+380.000,+379.996,+064.5,+0046.1,+0036.2,+100.0
1.095084,+380.000,+379.983,+064.6,+0046.1,+0036.2,+100.0
2.222239,+380.000,+379.978,+064.6,+0046.1,+0036.2,+100.0
3.293254,+380.000,+379.989,+064.3,+0046.1,+0036.2,+100.0
4.362860,+380.000,+380.011,+064.1,+0046.1,+0036.2,+100.0
5.432928,+380.000,+380.016,+064.2,+0046.1,+0036.2,+100.0
6.503347,+380.000,+380.001,+064.5,+0046.1,+0036.2,+100.0
7.593436,+380.000,+379.991,+064.4,+0046.1,+0036.2,+100.0
8.703668,+380.000,+380.006,+064.2,+0046.1,+0036.2,+100.0
9.773656,+380.000,+380.001,+064.4,+0046.1,+0036.2,+100.0
10.854402,+380.000,+380.014,+064.0,+0046.1,+0036.2,+100.0
11.934148,+380.000,+380.029,+064.0,+0046.1,+0036.2,+100.0
13.014234,+380.000,+380.021,+064.4,+0046.1,+0036.2,+100.0
14.114045,+380.000,+379.979,+064.7,+0046.1,+0036.2,+100.0
15.236379,+380.000,+379.993,+000.0,+0046.1,+0036.2,+100.0
16.305720,+380.000,+379.996,+000.1,+0046.1,+0036.2,+100.0
17.415447,+380.000,+379.931,+001.0,+0046.1,+0036.2,+100.0
18.539157,+380.000,+379.745,+003.4,+0046.1,+0036.2,+100.0
19.665309,+380.000,+379.422,+006.0,+0046.1,+0036.2,+100.0
20.746050,+380.000,+379.087,+008.9,+0046.1,+0036.2,+100.0
21.825397,+380.000,+378.640,+012.7,+0046.1,+0036.2,+100.0
22.907042,+380.000,+378.144,+016.7,+0046.1,+0036.2,+100.0
23.977710,+380.000,+377.607,+021.0,+0046.1,+0036.2,+100.0
25.056368,+380.000,+377.052,+025.3,+0046.1,+0036.2,+100.0
26.177395,+380.000,+376.504,+029.5,+0046.1,+0036.2,+100.0
27.306354,+380.000,+375.960,+033.6,+0046.1,+0036.2,+100.0
28.426561,+380.000,+375.445,+037.4,+0046.1,+0036.2,+100.0
29.497792,+380.000,+374.950,+041.1,+0046.1,+0036.2,+100.0
30.557340,+380.000,+374.521,+044.6,+0046.1,+0036.2,+100.0
31.628155,+380.000,+374.076,+047.6,+0046.1,+0036.2,+100.0
32.708210,+380.000,+373.674,+050.4,+0046.1,+0036.2,+100.0
