,Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0,0.0,130.197,100.0,0.0,67.3,48.5,100.0
1,2.3189450000000003,100.0,129.593,0.0,67.3,48.5,100.0
2,4.46943,100.0,129.02100000000002,0.0,67.3,48.5,100.0
3,6.589817999999999,100.0,128.483,0.0,67.3,48.5,100.0
4,8.669831,100.0,127.961,0.0,67.3,48.5,100.0
5,10.740604,100.0,127.432,0.0,67.3,48.5,100.0
6,12.830176,100.0,126.92399999999999,0.0,67.3,48.5,100.0
7,14.901382,100.0,126.461,0.0,67.3,48.5,100.0
8,16.981958,100.0,125.98100000000001,0.0,67.3,48.5,100.0
9,19.052212,100.0,125.515,0.0,67.3,48.5,100.0
10,21.122166,100.0,125.05799999999999,0.0,67.3,48.5,100.0
11,23.183255,100.0,124.639,0.0,67.3,48.5,100.0
12,25.263178,100.0,124.196,0.0,67.3,48.5,100.0
13,27.384057000000002,100.0,123.758,0.0,67.3,48.5,100.0
14,29.484454,100.0,123.35,0.0,67.3,48.5,100.0
15,31.555155,100.0,122.943,0.0,67.3,48.5,100.0
16,33.624961,100.0,122.551,0.0,67.3,48.5,100.0
17,35.695085999999996,100.0,122.19,0.0,67.3,48.5,100.0
18,37.775533,100.0,121.807,0.0,67.3,48.5,100.0
19,39.855647,100.0,121.435,0.0,67.3,48.5,100.0
20,41.926276,100.0,121.089,0.0,67.3,48.5,100.0
21,43.996998,100.0,120.74600000000001,0.0,67.3,48.5,100.0
22,46.067406,100.0,120.41,0.0,67.3,48.5,100.0
23,48.148589,100.0,120.083,0.0,67.3,48.5,100.0
24,50.228314000000005,100.0,119.75399999999999,0.0,67.3,48.5,100.0
25,52.368369,100.0,119.429,0.0,67.3,48.5,100.0
26,54.47932900000001,100.0,119.12700000000001,0.0,67.3,48.5,100.0
27,56.589521,100.0,118.81700000000001,0.0,67.3,48.5,100.0
28,58.663565000000006,100.0,118.524,0.0,67.3,48.5,100.0
29,60.75048100000001,100.0,118.23100000000001,0.0,67.3,48.5,100.0
30,62.820721999999996,100.0,117.946,0.0,67.3,48.5,100.0
31,64.920705,100.0,117.665,0.0,67.3,48.5,100.0
32,67.00100400000001,100.0,117.40299999999999,0.0,67.3,48.5,100.0
33,69.081337,100.0,117.13799999999999,0.0,67.3,48.5,100.0
34,71.151475,100.0,116.868,0.0,67.3,48.5,100.0
35,73.211929,100.0,116.62100000000001,0.0,67.3,48.5,100.0
36,75.312733,100.0,116.331,0.0,67.3,48.5,100.0
37,77.422452,100.0,116.095,0.0,67.3,48.5,100.0
38,79.503592,100.0,115.86,0.0,67.3,48.5,100.0
39,81.584198,100.0,115.60700000000001,0.0,67.3,48.5,100.0
40,83.664335,100.0,115.369,0.0,67.3,48.5,100.0
41,85.735078,100.0,115.146,0.0,67.3,48.5,100.0
42,87.824691,100.0,114.89399999999999,0.0,67.3,48.5,100.0
43,89.905823,100.0,114.68799999999999,0.0,67.3,48.5,100.0
44,91.9759,100.0,114.465,0.0,67.3,48.5,100.0
45,94.066507,100.0,114.234,0.0,67.3,48.5,100.0
46,96.127095,100.0,114.02600000000001,0.0,67.3,48.5,100.0
47,98.206923,100.0,113.836,0.0,67.3,48.5,100.0
48,100.307118,100.0,113.60700000000001,0.0,67.3,48.5,100.0
49,102.418267,100.0,113.40899999999999,0.0,67.3,48.5,100.0
50,104.50586700000001,100.0,113.199,0.0,67.3,48.5,100.0
51,106.60837099999999,100.0,112.99,0.0,67.3,48.5,100.0
52,108.688544,100.0,112.79700000000001,0.0,67.3,48.5,100.0
53,110.759277,100.0,112.587,0.0,67.3,48.5,100.0
54,112.81958999999999,100.0,112.39399999999999,0.0,67.3,48.5,100.0
55,114.92066399999999,100.0,112.212,0.0,67.3,48.5,100.0
56,117.00041499999999,100.0,112.036,0.0,67.3,48.5,100.0
57,119.071399,100.0,111.84,0.0,67.3,48.5,100.0
58,121.151981,100.0,111.639,0.0,67.3,48.5,100.0
59,123.232001,100.0,111.464,0.0,67.3,48.5,100.0
60,125.36173600000001,100.0,111.27,0.0,67.3,48.5,100.0
61,127.46208200000001,100.0,111.1,0.0,67.3,48.5,100.0
62,129.553429,100.0,110.92200000000001,0.0,67.3,48.5,100.0
63,131.613395,100.0,110.759,0.0,67.3,48.5,100.0
64,133.703809,100.0,110.57700000000001,0.0,67.3,48.5,100.0
65,135.784099,100.0,110.41,0.0,67.3,48.5,100.0
66,137.865032,100.0,110.22,0.0,67.3,48.5,100.0
