Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0.000000,+100.000,+103.916,+043.8,+0015.0,+0020.0,+000.0
1.067487,+100.000,+103.823,+043.9,+0015.0,+0020.0,+000.0
2.127275,+100.000,+103.740,+043.9,+0015.0,+0020.0,+000.0
3.207371,+100.000,+103.634,+044.0,+0015.0,+0020.0,+000.0
4.278210,+100.000,+103.557,+043.9,+0015.0,+0020.0,+000.0
5.348589,+100.000,+103.484,+044.0,+0015.0,+0020.0,+000.0
6.428332,+100.000,+103.387,+044.0,+0015.0,+0020.0,+000.0
7.498463,+100.000,+103.326,+044.0,+0015.0,+0020.0,+000.0
8.558455,+100.000,+103.224,+000.0,+0015.0,+0020.0,+000.0
9.628822,+100.000,+103.149,+000.0,+0015.0,+0020.0,+000.0
10.709172,+100.000,+103.015,+000.0,+0015.0,+0020.0,+000.0
11.839195,+100.000,+102.748,+000.0,+0015.0,+0020.0,+000.0
12.899488,+100.000,+102.385,+000.0,+0015.0,+0020.0,+000.0
13.969746,+100.000,+101.916,+000.0,+0015.0,+0020.0,+000.0
15.050683,+100.000,+101.454,+000.0,+0015.0,+0020.0,+000.0
16.130513,+100.000,+100.949,+000.0,+0015.0,+0020.0,+000.0
17.200883,+100.000,+100.392,+000.0,+0015.0,+0020.0,+000.0
18.281393,+100.000,+99.8192,+001.3,+0015.0,+0020.0,+000.0
19.391220,+100.000,+99.2269,+002.9,+0015.0,+0020.0,+000.0
20.451426,+100.000,+98.6327,+004.6,+0015.0,+0020.0,+000.0
21.541132,+100.000,+97.9909,+005.9,+0015.0,+0020.0,+000.0
22.623510,+100.000,+97.3856,+007.4,+0015.0,+0020.0,+000.0
23.692978,+100.000,+96.7762,+008.9,+0015.0,+0020.0,+000.0
24.823034,+100.000,+96.1374,+010.8,+0015.0,+0020.0,+000.0
25.921850,+100.000,+95.4269,+012.5,+0015.0,+0020.0,+000.0
26.993405,+100.000,+94.7133,+014.3,+0015.0,+0020.0,+000.0
28.103298,+100.000,+94.0092,+016.1,+0015.0,+0020.0,+000.0
29.223507,+100.000,+93.3071,+017.8,+0015.0,+0020.0,+000.0
30.293791,+100.000,+92.6370,+019.4,+0015.0,+0020.0,+000.0
31.364886,+100.000,+91.9138,+021.2,+0015.0,+0020.0,+000.0
32.443932,+100.000,+91.3083,+022.7,+0015.0,+0020.0,+000.0
33.524261,+100.000,+90.6657,+024.4,+0015.0,+0020.0,+000.0
34.594118,+100.000,+89.9970,+025.8,+0015.0,+0020.0,+000.0
35.664359,+100.000,+89.3507,+027.7,+0015.0,+0020.0,+000.0
36.783805,+100.000,+88.6852,+029.3,+0015.0,+0020.0,+000.0
37.924786,+100.000,+87.9123,+031.5,Read Failed
