Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0.333995,+120.000,+77.4174,+000.0,+0067.3,+0048.5,+100.0
1.759215,+120.000,+77.4173,+000.0,+0067.3,+0048.5,+100.0
3.168749,+120.000,+77.4172,+000.0,+0067.3,+0048.5,+100.0
4.579091,+120.000,+77.4176,+000.0,+0067.3,+0048.5,+100.0
6.013470,+120.000,+77.4177,+000.0,+0067.3,+0048.5,+100.0
7.432968,+120.000,+77.4181,+000.0,+0067.3,+0048.5,+100.0
8.843580,+120.000,+77.4173,+000.0,+0067.3,+0048.5,+100.0
10.225034,+120.000,+77.4174,+000.0,+0067.3,+0048.5,+100.0
11.634781,+120.000,+77.4166,+000.0,+0067.3,+0048.5,+100.0
13.016370,+120.000,+77.4172,+000.0,+0067.3,+0048.5,+100.0
14.396436,+120.000,+77.4170,+000.0,+0067.3,+0048.5,+100.0
15.837554,+120.000,+77.4173,+000.0,+0067.3,+0048.5,+100.0
17.263060,+120.000,+77.4170,+000.0,+0067.3,+0048.5,+100.0
18.690109,+120.000,+77.4171,+000.0,+0067.3,+0048.5,+100.0
20.100149,+120.000,+77.4169,+000.0,+0067.3,+0048.5,+100.0
21.577888,+120.000,+77.4167,+000.0,+0067.3,+0048.5,+100.0
22.972888,+120.000,+77.4166,+000.0,+0067.3,+0048.5,+100.0
24.386395,+120.000,+77.4166,+000.0,+0067.3,+0048.5,+100.0
25.833064,+120.000,+77.4164,+000.0,+0067.3,+0048.5,+100.0
27.227079,+120.000,+77.4161,+000.0,+0067.3,+0048.5,+100.0
28.640994,+120.000,+77.4165,+000.0,+0067.3,+0048.5,+100.0
30.037531,+120.000,+77.4167,+000.0,+0067.3,+0048.5,+100.0
31.439003,+120.000,+77.4166,+000.0,+0067.3,+0048.5,+100.0
32.853003,+120.000,+77.4161,+000.0,+0067.3,+0048.5,+100.0
34.265590,+120.000,+77.4154,+000.0,+0067.3,+0048.5,+100.0
35.691310,+120.000,+77.4155,+000.0,+0067.3,+0048.5,+100.0
37.101366,+120.000,+77.4156,+000.0,+0067.3,+0048.5,+100.0
38.511912,+120.000,+77.4152,+000.0,+0067.3,+0048.5,+100.0
39.921635,+120.000,+77.4152,+000.0,+0067.3,+0048.5,+100.0
41.301446,+120.000,+77.4157,+000.0,+0067.3,+0048.5,+100.0
42.726729,+120.000,+77.4159,+000.0,+0067.3,+0048.5,+100.0
44.122266,+120.000,+77.4157,+000.0,+0067.3,+0048.5,+100.0
45.504234,+120.000,+77.4162,+000.0,+0067.3,+0048.5,+100.0
46.914727,+120.000,+77.4159,+000.0,+0067.3,+0048.5,+100.0
48.324482,+120.000,+77.4156,+000.0,+0067.3,+0048.5,+100.0
49.750397,+120.000,+77.4156,+000.0,+0067.3,+0048.5,+100.0
51.161611,+120.000,+77.4161,+000.0,+0067.3,+0048.5,+100.0
52.543025,+120.000,+77.4156,+000.0,+0067.3,+0048.5,+100.0
53.984795,+120.000,+77.4159,+000.0,+0067.3,+0048.5,+100.0
55.382383,+120.000,+77.4161,+000.0,+0067.3,+0048.5,+100.0
56.794549,+120.000,+77.4161,+000.0,+0067.3,+0048.5,+100.0
58.204552,+120.000,+77.4163,+000.0,+0067.3,+0048.5,+100.0
59.618500,+120.000,+77.4163,+000.0,+0067.3,+0048.5,+100.0
61.047962,+120.000,+77.4161,+000.0,+0067.3,+0048.5,+100.0
62.468751,+120.000,+77.4163,+000.0,+0067.3,+0048.5,+100.0
63.874469,+120.000,+77.4163,+000.0,+0067.3,+0048.5,+100.0
65.271749,+120.000,+77.4165,+000.0,+0067.3,+0048.5,+100.0
66.698881,+120.000,+77.4161,+000.0,+0067.3,+0048.5,+100.0
68.108886,+120.000,+77.4159,+000.0,+0067.3,+0048.5,+100.0
69.505453,+120.000,+77.4163,+000.0,+0067.3,+0048.5,+100.0
70.888551,+120.000,+77.4169,+000.0,+0067.3,+0048.5,+100.0
72.298601,+120.000,+77.4170,+000.0,+0067.3,+0048.5,+100.0
73.723659,+120.000,+77.4166,+000.0,+0067.3,+0048.5,+100.0
75.118444,+120.000,+77.4165,+000.0,+0067.3,+0048.5,+100.0
76.498735,+120.000,+77.4167,+000.0,+0067.3,+0048.5,+100.0
77.909114,+120.000,+77.4166,+000.0,+0067.3,+0048.5,+100.0
79.290063,+120.000,+77.4167,+000.0,+0067.3,+0048.5,+100.0
80.698940,+120.000,+77.4167,+000.0,+0067.3,+0048.5,+100.0
82.110060,+120.000,+77.4170,+000.0,+0067.3,+0048.5,+100.0
83.509017,+120.000,+77.4170,+000.0,+0067.3,+0048.5,+100.0
84.918987,+120.000,+77.4169,+000.0,+0067.3,+0048.5,+100.0
86.329012,+120.000,+77.4174,+000.0,+0067.3,+0048.5,+100.0
87.739728,+120.000,+77.4172,+000.0,+0067.3,+0048.5,+100.0
89.119969,+120.000,+77.4166,+000.0,+0067.3,+0048.5,+100.0
90.500326,+120.000,+77.4172,+000.0,+0067.3,+0048.5,+100.0
91.910851,+120.000,+77.4167,+000.0,+0067.3,+0048.5,+100.0
93.291339,+120.000,+77.4170,+000.0,+0067.3,+0048.5,+100.0
94.718405,+120.000,+77.4166,+000.0,+0067.3,+0048.5,+100.0
96.184206,+120.000,+77.4165,+000.0,+0067.3,+0048.5,+100.0
97.605769,+120.000,+77.4163,+000.0,+0067.3,+0048.5,+100.0
99.002586,+120.000,+77.4163,+000.0,+0067.3,+0048.5,+100.0
100.376932,+120.000,+77.4165,+000.0,+0067.3,+0048.5,+100.0
101.796835,+120.000,+77.4166,+000.0,+0067.3,+0048.5,+100.0
103.194129,+120.000,+77.4167,+000.0,+0067.3,+0048.5,+100.0
104.618134,+120.000,+77.4169,+000.0,+0067.3,+0048.5,+100.0
106.062833,+120.000,+77.4174,+000.0,+0067.3,+0048.5,+100.0
107.444262,+120.000,+77.4176,+000.0,+0067.3,+0048.5,+100.0
108.886824,+120.000,+77.4180,+000.0,+0067.3,+0048.5,+100.0
110.300968,+120.000,+77.4176,+000.0,+0067.3,+0048.5,+100.0
111.742429,+120.000,+77.4180,+000.0,+0067.3,+0048.5,+100.0
113.197567,+120.000,+77.4174,+000.0,+0067.3,+0048.5,+100.0
114.638223,+120.000,+77.4173,+000.0,+0067.3,+0048.5,+100.0
116.078009,+120.000,+77.4169,+000.0,+0067.3,+0048.5,+100.0
117.487844,+120.000,+77.4161,+000.0,+0067.3,+0048.5,+100.0
118.914153,+120.000,+77.4156,+000.0,+0067.3,+0048.5,+100.0
120.323994,+120.000,+77.4164,+000.0,+0067.3,+0048.5,+100.0
121.779546,+120.000,+77.4172,+000.0,+0067.3,+0048.5,+100.0
123.175865,+120.000,+77.4180,+000.0,+0067.3,+0048.5,+100.0
124.571939,+120.000,+77.4180,+000.0,+0067.3,+0048.5,+100.0
125.996344,+120.000,+77.4168,+000.0,+0067.3,+0048.5,+100.0
127.407025,+120.000,+77.4162,+000.0,+0067.3,+0048.5,+100.0
128.817413,+120.000,+77.4163,+000.0,+0067.3,+0048.5,+100.0
130.197843,+120.000,+77.4165,+000.0,+0067.3,+0048.5,+100.0
131.607575,+120.000,+77.4172,+000.0,+0067.3,+0048.5,+100.0
133.019726,+120.000,+77.4167,+000.0,+0067.3,+0048.5,+100.0
134.399610,+120.000,+77.4161,+000.0,+0067.3,+0048.5,+100.0
135.842577,+120.000,+77.4159,+000.0,+0067.3,+0048.5,+100.0
137.251359,+120.000,+77.4172,+000.0,+0067.3,+0048.5,+100.0
138.662686,+120.000,+77.4180,+000.0,+0067.3,+0048.5,+100.0
140.059262,+120.000,+77.4183,+000.0,+0067.3,+0048.5,+100.0
141.440889,+120.000,+77.4189,+000.0,+0067.3,+0048.5,+100.0
142.851213,+120.000,+77.4189,+000.0,+0067.3,+0048.5,+100.0
144.232834,+120.000,+77.4184,+000.0,+0067.3,+0048.5,+100.0
145.662756,+120.000,+77.4179,+000.0,+0067.3,+0048.5,+100.0
147.077370,+120.000,+77.4183,+000.0,+0067.3,+0048.5,+100.0
148.461982,+120.000,+77.4193,+000.0,+0067.3,+0048.5,+100.0
149.874986,+120.000,+77.4202,+000.0,+0067.3,+0048.5,+100.0
151.270961,+120.000,+77.4207,+000.0,+0067.3,+0048.5,+100.0
152.683992,+120.000,+77.4209,+000.0,+0067.3,+0048.5,+100.0
154.110884,+120.000,+77.4205,+000.0,+0067.3,+0048.5,+100.0
155.520888,+120.000,+77.4203,+000.0,+0067.3,+0048.5,+100.0
156.932069,+120.000,+77.4203,+000.0,+0067.3,+0048.5,+100.0
158.312074,+120.000,+77.4200,+000.0,+0067.3,+0048.5,+100.0
159.723933,+120.000,+77.4183,+000.0,+0067.3,+0048.5,+100.0
161.105634,+120.000,+77.4185,+000.0,+0067.3,+0048.5,+100.0
162.515636,+120.000,+77.4178,+000.0,+0067.3,+0048.5,+100.0
