Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0.000000,+120.000,+89.5296,+000.0,+0067.3,+0048.5,+100.0
1.149065,+120.000,+89.2746,+000.0,+0067.3,+0048.5,+100.0
2.239514,+120.000,+89.2451,+000.0,+0067.3,+0048.5,+100.0
3.360226,+120.000,+89.2130,+000.0,+0067.3,+0048.5,+100.0
4.439961,+120.000,+89.0118,+000.0,+0067.3,+0048.5,+100.0
5.510239,+120.000,+89.0923,+000.0,+0067.3,+0048.5,+100.0
6.570736,+120.000,+88.9053,+000.0,+0067.3,+0048.5,+100.0
7.670274,+120.000,+88.8459,+000.0,+0067.3,+0048.5,+100.0
8.790291,+120.000,+88.8400,+000.0,+0067.3,+0048.5,+100.0
9.871146,+120.000,+88.7962,+000.0,+0067.3,+0048.5,+100.0
10.951331,+120.000,+88.7372,+000.0,+0067.3,+0048.5,+100.0
12.041917,+88.5625,+88.5625,+000.0,+0067.3,+0048.5,+100.0
13.211575,+120.000,+88.5070,+000.0,+0067.3,+0048.5,+100.0
14.281761,+120.000,+88.3538,+000.0,+0067.3,+0048.5,+100.0
15.372286,+120.000,+88.2934,+000.0,+0067.3,+0048.5,+100.0
16.451971,+120.000,+88.1806,+000.0,+0067.3,+0048.5,+100.0
17.532873,+120.000,+88.0875,+000.0,+0067.3,+0048.5,+100.0
18.592750,+120.000,+87.8741,+000.0,+0067.3,+0048.5,+100.0
19.732548,+120.000,+87.8114,+000.0,+0067.3,+0048.5,+100.0
20.823076,+120.000,+87.7789,+000.0,+0067.3,+0048.5,+100.0
21.922998,+120.000,+87.7889,+000.0,+0067.3,+0048.5,+100.0
23.033197,+120.000,+87.6480,+000.0,+0067.3,+0048.5,+100.0
24.114198,+120.000,+87.4451,+000.0,+0067.3,+0048.5,+100.0
25.184063,+120.000,+87.3388,+000.0,+0067.3,+0048.5,+100.0
26.263964,+120.000,+87.3098,+000.0,+0067.3,+0048.5,+100.0
27.344064,+120.000,+87.1408,+000.0,+0067.3,+0048.5,+100.0
28.424989,+120.000,+87.0283,+000.0,+0067.3,+0048.5,+100.0
29.494644,+120.000,+87.0539,+000.0,+0067.3,+0048.5,+100.0
30.574493,+120.000,+86.7193,+000.0,+0067.3,+0048.5,+100.0
31.685489,+120.000,+86.7858,+000.0,+0067.3,+0048.5,+100.0
32.815092,+120.000,+86.7844,+000.0,+0067.3,+0048.5,+100.0
33.885541,+120.000,+86.6388,+000.0,+0067.3,+0048.5,+100.0
34.966412,+120.000,+86.6098,+000.0,+0067.3,+0048.5,+100.0
36.046416,+120.000,+86.5211,+000.0,+0067.3,+0048.5,+100.0
37.126151,+120.000,+86.4491,+000.0,+0067.3,+0048.5,+100.0
38.196380,+120.000,+86.2141,+000.0,+0067.3,+0048.5,+100.0
39.276093,+120.000,+86.1901,+000.0,+0067.3,+0048.5,+100.0
40.337174,+120.000,+85.9823,+000.0,+0067.3,+0048.5,+100.0
41.416583,+120.000,+86.0536,+000.0,+0067.3,+0048.5,+100.0
42.486777,+120.000,+85.8483,+000.0,+0067.3,+0048.5,+100.0
43.547885,+120.000,+85.7746,+000.0,+0067.3,+0048.5,+100.0
44.638285,+120.000,+85.7175,+000.0,+0067.3,+0048.5,+100.0
45.748437,+120.000,+85.5604,+000.0,+0067.3,+0048.5,+100.0
46.828219,+120.000,+85.5422,+000.0,+0067.3,+0048.5,+100.0
47.908267,+120.000,+85.4617,+000.0,+0067.3,+0048.5,+100.0
48.988836,+120.000,+85.2537,+000.0,+0067.3,+0048.5,+100.0
