Time(s)	SetTemp(K)	Temp(K)	HeatPower	P	I	D	
-1.9073486328125E-6	400	385.365	0	130	50	0	-1670590442.55353
5.18150591850281	400	381.341	0	130	50	0	-1670590437.37202
10.299861907959	400	378.555	0	130	50	0	-1670590432.25367
15.4616639614105	400	375.239	0	130	50	0	-1670590427.09187
20.5822200775146	400	372.901	0	130	50	0	-1670590421.97131
25.738569021225	400	369.995	0	130	50	0	-1670590416.81496
30.8292880058289	400	368.184	0	130	50	0	-1670590411.72424
35.9199569225311	400	365.736	0	130	50	0	-1670590406.63357
41.0158030986786	400	363.876	0	130	50	0	-1670590401.53773
46.1287779808044	400	361.537	0	130	50	0	-1670590396.42475
51.2148299217224	400	360.179	0	130	50	0	-1670590391.3387
56.3189599514008	400	357.883	0	130	50	0	-1670590386.23457
61.4459850788116	400	356.78	0	130	50	0	-1670590381.10754
66.5212640762329	400	354.841	0	130	50	0	-1670590376.03227
71.607460975647	400	353.537	0	130	50	0	-1670590370.94607
76.6684370040894	400	351.905	0	130	50	0	-1670590365.88509
81.7305829524994	400	350.41	0	130	50	0	-1670590360.82295
86.8146440982819	400	349.269	0	130	50	0	-1670590355.73889
91.9030659198761	400	347.744	0	130	50	0	-1670590350.65046
96.9635369777679	400	346.765	0	130	50	0	-1670590345.58999
102.043352127075	400	344.625	0	130	50	0	-1670590340.51018
107.114633083344	400	344.203	0	130	50	0	-1670590335.4389
112.186800003052	400	342.471	0	130	50	0	-1670590330.36673
117.277486085892	400	341.531	0	130	50	0	-1670590325.27604
122.357955932617	400	340.235	0	130	50	0	-1670590320.19557
127.437947034836	400	339.141	0	130	50	0	-1670590315.11558
132.509056091309	400	338.063	0	130	50	0	-1670590310.04447
137.571229934692	400	336.236	0	130	50	0	-1670590304.9823
142.661910057068	400	335.939	0	130	50	0	-1670590299.89162
147.742748022079	400	334.053	0	130	50	0	-1670590294.81078
152.813889026642	400	333.571	0	130	50	0	-1670590289.73964
157.884215116501	400	331.885	0	130	50	0	-1670590284.66931
162.964949131012	400	331.579	0	130	50	0	-1670590279.58858
168.059132099152	400	330.102	0	130	50	0	-1670590274.4944
173.17773604393	400	329.005	0	130	50	0	-1670590269.37579
178.26388001442	400	328.373	0	130	50	0	-1670590264.28965
183.359657049179	400	326.574	0	130	50	0	-1670590259.19387
188.451378107071	400	325.89	0	130	50	0	-1670590254.10215
193.56636095047	400	324.922	0	130	50	0	-1670590248.98717
198.72248506546	400	323.96	0	130	50	0	-1670590243.83104
203.783936023712	400	323.044	0	130	50	0	-1670590238.76959
208.865822076797	400	321.981	0	130	50	0	-1670590233.68771
213.977260112762	400	321.002	0	130	50	0	-1670590228.57627
219.068821907043	400	319.92	0	130	50	0	-1670590223.48471
224.17734003067	400	318.871	0	130	50	0	-1670590218.37619
229.258579015732	400	318.225	0	130	50	0	-1670590213.29495
234.344459056854	400	316.876	0	130	50	0	-1670590208.20907
239.470299959183	400	316.211	0	130	50	0	-1670590203.08323
244.56324005127	400	315.231	0	130	50	0	-1670590197.99029
249.662646055222	400	314.17	0	130	50	0	-1670590192.89088
254.745610952377	400	313.153	0	130	50	0	-1670590187.80792
259.840876102448	400	312.403	0	130	50	0	-1670590182.71265
264.934912919998	400	311.319	0	130	50	0	-1670590177.61862
270.01807308197	400	310.455	0	130	50	0	-1670590172.53546
275.0881960392	400	309.154	0	130	50	0	-1670590167.46533
280.183370113373	400	308.549	0	130	50	0	-1670590162.37016
