Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0.000000,+140.000,+105.622,+020.00,+0015.0,+0020.0,+000.0
5.188446,+140.000,+104.817,+020.00,+0015.0,+0020.0,+000.0
10.249494,+140.000,+104.189,+020.00,+0015.0,+0020.0,+000.0
15.330244,+140.000,+103.682,+020.00,+0015.0,+0020.0,+000.0
20.400926,+140.000,+103.257,+020.00,+0015.0,+0020.0,+000.0
25.471420,+140.000,+102.864,+020.00,+0015.0,+0020.0,+000.0
30.563286,+140.000,+102.582,+020.00,+0015.0,+0020.0,+000.0
35.643376,+140.000,+102.317,+020.00,+0015.0,+0020.0,+000.0
40.735282,+140.000,+102.062,+020.00,+0015.0,+0020.0,+000.0
45.826061,+140.000,+101.816,+020.00,+0015.0,+0020.0,+000.0
50.917080,+140.000,+101.596,+020.00,+0015.0,+0020.0,+000.0
56.048547,+140.000,+101.306,+020.00,+0015.0,+0020.0,+000.0
61.158596,+140.000,+101.133,+020.00,+0015.0,+0020.0,+000.0
66.249943,+140.000,+100.927,+020.00,+0015.0,+0020.0,+000.0
71.371651,+140.000,+100.823,+020.00,+0015.0,+0020.0,+000.0
76.462555,+140.000,+100.627,+020.00,+0015.0,+0020.0,+000.0
81.593360,+140.000,+100.425,+020.00,+0015.0,+0020.0,+000.0
86.665153,+140.000,+100.222,+020.00,+0015.0,+0020.0,+000.0
91.745100,+140.000,+100.009,+020.00,+0015.0,+0020.0,+000.0
96.836447,+140.000,+99.8528,+020.00,+0015.0,+0020.0,+000.0
101.927331,+140.000,+99.7022,+020.00,+0015.0,+0020.0,+000.0
107.048270,+140.000,+99.5418,+020.00,+0015.0,+0020.0,+000.0
112.128824,+140.000,+99.4009,+020.00,+0015.0,+0020.0,+000.0
117.209938,+140.000,+99.2424,+020.00,+0015.0,+0020.0,+000.0
122.291403,+140.000,+99.0762,+020.00,+0015.0,+0020.0,+000.0
127.352037,+140.000,+98.8464,+020.00,+0015.0,+0020.0,+000.0
132.423060,+140.000,+98.6857,+020.00,+0015.0,+0020.0,+000.0
137.483695,+140.000,+98.5548,+020.00,+0015.0,+0020.0,+000.0
142.565312,+140.000,+98.3760,+020.00,+0015.0,+0020.0,+000.0
147.646407,+140.000,+98.1334,+020.00,+0015.0,+0020.0,+000.0
152.726896,+140.000,+97.8392,+020.00,+0015.0,+0020.0,+000.0
157.798158,+140.000,+97.6206,+020.00,+0015.0,+0020.0,+000.0
162.869376,+140.000,+97.4379,+020.00,+0015.0,+0020.0,+000.0
168.010376,+140.000,+97.2831,+97.2831,+97.2831
173.131265,+140.000,+97.1769,+020.00,+0015.0,+0020.0,+000.0
178.202134,+140.000,+97.0493,+020.00,+0015.0,+0020.0,+000.0
183.283118,+140.000,+96.9498,+020.00,+0015.0,+0020.0,+000.0
188.363894,+140.000,+96.8479,+020.00,+0015.0,+0020.0,+000.0
193.445102,+140.000,+96.7201,+020.00,+0015.0,+0020.0,+000.0
198.516414,+140.000,+96.4989,+020.00,+0015.0,+0020.0,+000.0
203.587049,+140.000,+96.3806,+020.00,+0015.0,+0020.0,+000.0
208.677721,+140.000,+96.2386,+020.00,+0015.0,+0020.0,+000.0
213.748657,+140.000,+96.0846,+020.00,+0015.0,+0020.0,+000.0
218.820046,+140.000,+95.9679,+020.00,+0015.0,+0020.0,+000.0
223.921400,+140.000,+95.8428,+020.00,+0015.0,+0020.0,+000.0
229.031050,+140.000,+95.6874,+020.00,+0015.0,+0020.0,+000.0
234.112767,+140.000,+95.4018,+020.00,+0015.0,+0020.0,+000.0
239.187119,+140.000,+95.1306,+020.00,+0015.0,+0020.0,+000.0
244.304977,+140.000,+94.9366,+020.00,+0015.0,+0020.0,+000.0
249.366082,+140.000,+94.8951,+020.00,+0015.0,+0020.0,+000.0
254.436207,+140.000,+94.6612,+020.00,+0015.0,+0020.0,+000.0
259.507859,+140.000,+94.5112,+020.00,+0015.0,+0020.0,+000.0
264.578959,+140.000,+94.4784,+020.00,+0015.0,+0020.0,+000.0
269.649963,+140.000,+94.3859,+020.00,+0015.0,+0020.0,+000.0
274.720455,+140.000,+94.2305,+020.00,+0015.0,+0020.0,+000.0
279.782049,+140.000,+94.1789,+020.00,+0015.0,+0020.0,+000.0
284.852604,+140.000,+94.0772,+020.00,+0015.0,+0020.0,+000.0
289.963412,+140.000,+93.8866,+020.00,+0015.0,+0020.0,+000.0
295.085102,+140.000,+93.6680,+020.00,+0015.0,+0020.0,+000.0
300.145412,+140.000,+93.6185,+020.00,+0015.0,+0020.0,+000.0
305.226996,+140.000,+93.4461,+020.00,+0015.0,+0020.0,+000.0
310.307653,+140.000,+93.1692,+020.00,+0015.0,+0020.0,+000.0
315.378944,+140.000,+93.0915,+020.00,+0015.0,+0020.0,+000.0
320.449192,+140.000,+92.8738,+020.00,+0015.0,+0020.0,+000.0
325.520759,+140.000,+92.7445,+020.00,+0015.0,+0020.0,+000.0
330.591365,+140.000,+92.6303,+020.00,+0015.0,+0020.0,+000.0
335.682880,+140.000,+92.4300,+020.00,+0015.0,+0020.0,+000.0
340.763098,+140.000,+92.3143,+020.00,+0015.0,+0020.0,+000.0
345.844564,+140.000,+92.2116,+020.00,+0015.0,+0020.0,+000.0
350.945751,+140.000,+92.0397,+020.00,+0015.0,+0020.0,+000.0
356.076349,+140.000,+91.9403,+020.00,+0015.0,+0020.0,+000.0
361.188031,+140.000,+91.8776,+020.00,+0015.0,+0020.0,+000.0
366.278584,+140.000,+91.7185,+020.00,+0015.0,+0020.0,+000.0
371.399952,+140.000,+91.6357,+020.00,+0015.0,+0020.0,+000.0
376.500658,+140.000,+91.4367,+020.00,+0015.0,+0020.0,+000.0
381.621626,+140.000,+91.3217,+020.00,+0015.0,+0020.0,+000.0
386.692807,+140.000,+91.2192,+020.00,+0015.0,+0020.0,+000.0
391.773660,+140.000,+91.1621,+020.00,+0015.0,+0020.0,+000.0
396.854832,+140.000,+91.0028,+020.00,+0015.0,+0020.0,+000.0
401.975107,+140.000,+90.8296,+020.00,+0015.0,+0020.0,+000.0
407.096208,+140.000,+90.7172,+020.00,+0015.0,+0020.0,+000.0
412.187243,+140.000,+90.5704,+020.00,+0015.0,+0020.0,+000.0
417.269217,+140.000,+90.5779,+020.00,+0015.0,+0020.0,+000.0
422.349763,+140.000,+90.3944,+020.00,+0015.0,+0020.0,+000.0
427.430623,+140.000,+90.3185,+020.00,+0015.0,+0020.0,+000.0
432.491963,+140.000,+90.2631,+020.00,+0015.0,+0020.0,+000.0
437.562560,+140.000,+90.1384,+020.00,+0015.0,+0020.0,+000.0
442.633249,+140.000,+90.0978,+020.00,+0015.0,+0020.0,+000.0
447.703539,+140.000,+89.9157,+020.00,+0015.0,+0020.0,+000.0
452.775000,+140.000,+89.6677,+020.00,+0015.0,+0020.0,+000.0
457.856501,+140.000,+89.5860,+020.00,+0015.0,+0020.0,+000.0
462.977352,+140.000,+89.4959,+020.00,+0015.0,+0020.0,+000.0
468.118407,+140.000,+89.3608,+020.00,+0015.0,+0020.0,+000.0
473.198976,+140.000,+89.1872,+020.00,+0015.0,+0020.0,+000.0
478.270044,+140.000,+89.0520,+020.00,+0015.0,+0020.0,+000.0
483.330846,+140.000,+89.0096,+020.00,+0015.0,+0020.0,+000.0
488.401886,+140.000,+88.8696,+020.00,+0015.0,+0020.0,+000.0
493.482707,+140.000,+88.7556,+020.00,+0015.0,+0020.0,+000.0
498.564115,+140.000,+88.6434,+020.00,+0015.0,+0020.0,+000.0
503.635435,+140.000,+88.4950,+020.00,+0015.0,+0020.0,+000.0
508.720044,+140.000,+88.5167,+020.00,+0015.0,+0020.0,+000.0
513.797979,+140.000,+88.3527,+020.00,+0015.0,+0020.0,+000.0
518.870589,+140.000,+88.3094,+020.00,+0015.0,+0020.0,+000.0
523.999084,+140.000,+88.1841,+020.00,+0015.0,+0020.0,+000.0
529.100212,+140.000,+88.1244,+020.00,+0015.0,+0020.0,+000.0
534.171544,+140.000,+88.0086,+020.00,+0015.0,+0020.0,+000.0
539.242061,+140.000,+88.0316,+020.00,+0015.0,+0020.0,+000.0
544.302948,+140.000,+87.8502,+020.00,+0015.0,+0020.0,+000.0
549.374489,+140.000,+87.7332,+020.00,+0015.0,+0020.0,+000.0
554.444279,+140.000,+87.6283,+020.00,+0015.0,+0020.0,+000.0
559.516222,+140.000,+87.5338,+020.00,+0015.0,+0020.0,+000.0
564.587410,+140.000,+87.5686,+020.00,+0015.0,+0020.0,+000.0
569.657987,+140.000,+87.4613,+020.00,+0015.0,+0020.0,+000.0
574.739692,+140.000,+87.2701,+020.00,+0015.0,+0020.0,+000.0
579.800248,+140.000,+87.1734,+020.00,+0015.0,+0020.0,+000.0
584.890968,+140.000,+87.1457,+020.00,+0015.0,+0020.0,+000.0
590.031535,+140.000,+87.0950,+020.00,+0015.0,+0020.0,+000.0
595.102474,+140.000,+86.8425,+020.00,+0015.0,+0020.0,+000.0
600.184357,+140.000,+86.8486,+020.00,+0015.0,+0020.0,+000.0
605.265197,+140.000,+86.6822,+020.00,+0015.0,+0020.0,+000.0
610.345520,+140.000,+86.6632,+020.00,+0015.0,+0020.0,+000.0
615.407383,+140.000,+86.6106,+020.00,+0015.0,+0020.0,+000.0
620.477907,+140.000,+86.5474,+020.00,+0015.0,+0020.0,+000.0
625.568822,+140.000,+86.4174,+020.00,+0015.0,+0020.0,+000.0
630.649694,+140.000,+86.3047,+020.00,+0015.0,+0020.0,+000.0
635.721226,+140.000,+86.2869,+020.00,+0015.0,+0020.0,+000.0
640.801999,+140.000,+86.2493,+020.00,+0015.0,+0020.0,+000.0
645.873080,+140.000,+86.1746,+020.00,+0015.0,+0020.0,+000.0
650.994196,+140.000,+86.0221,+020.00,+0015.0,+0020.0,+000.0
656.095096,+140.000,+86.0149,+020.00,+0015.0,+0020.0,+000.0
661.206219,+140.000,+85.8809,+020.00,+0015.0,+0020.0,+000.0
666.296479,+140.000,+85.8889,+020.00,+0015.0,+0020.0,+000.0
671.417367,+140.000,+85.8050,+020.00,+0015.0,+0020.0,+000.0
676.508488,+140.000,+85.7110,+020.00,+0015.0,+0020.0,+000.0
681.626307,+140.000,+85.6521,+020.00,+0015.0,+0020.0,+000.0
686.700268,+140.000,+85.5652,+020.00,+0015.0,+0020.0,+000.0
691.780854,+140.000,+85.4941,+020.00,+0015.0,+0020.0,+000.0
696.862913,+140.000,+85.4888,+020.00,+0015.0,+0020.0,+000.0
701.993289,+140.000,+85.3552,+020.00,+0015.0,+0020.0,+000.0
707.114676,+140.000,+85.2739,+020.00,+0015.0,+0020.0,+000.0
712.210125,+140.000,+85.1223,+020.00,+0015.0,+0020.0,+000.0
717.308866,+140.000,+85.0919,+020.00,+0015.0,+0020.0,+000.0
722.387418,+140.000,+85.0206,+020.00,+0015.0,+0020.0,+000.0
727.458560,+140.000,+84.9652,+020.00,+0015.0,+0020.0,+000.0
732.529567,+140.000,+84.9041,+020.00,+0015.0,+0020.0,+000.0
737.591099,+140.000,+84.7906,+020.00,+0015.0,+0020.0,+000.0
742.671748,+140.000,+84.7326,+020.00,+0015.0,+0020.0,+000.0
747.753011,+140.000,+84.6679,+020.00,+0015.0,+0020.0,+000.0
752.824224,+140.000,+84.7101,+020.00,+0015.0,+0020.0,+000.0
757.914605,+140.000,+84.5767,+020.00,+0015.0,+0020.0,+000.0
763.046021,+140.000,+84.5070,+020.00,+0015.0,+0020.0,+000.0
768.116837,+140.000,+84.4470,+020.00,+0015.0,+0020.0,+000.0
773.197305,+140.000,+84.4064,+020.00,+0015.0,+0020.0,+000.0
778.278288,+140.000,+84.2975,+020.00,+0015.0,+0020.0,+000.0
783.359805,+140.000,+84.2839,+020.00,+0015.0,+0020.0,+000.0
788.422826,+140.000,+84.1442,+020.00,+0015.0,+0020.0,+000.0
793.500870,+140.000,+84.1472,+020.00,+0015.0,+0020.0,+000.0
798.582886,+140.000,+84.0745,+020.00,+0015.0,+0020.0,+000.0
803.663827,+140.000,+84.0060,+020.00,+0015.0,+0020.0,+000.0
808.723927,+140.000,+83.9504,+020.00,+0015.0,+0020.0,+000.0
813.804748,+140.000,+83.8476,+020.00,+0015.0,+0020.0,+000.0
818.906561,+140.000,+83.8385,+020.00,+0015.0,+0020.0,+000.0
824.021753,+140.000,+83.7556,+020.00,+0015.0,+0020.0,+000.0
829.098872,+140.000,+83.7289,+020.00,+0015.0,+0020.0,+000.0
834.189097,+140.000,+83.6500,+020.00,+0015.0,+0020.0,+000.0
839.260386,+140.000,+83.5778,+020.00,+0015.0,+0020.0,+000.0
844.331525,+140.000,+83.4794,+020.00,+0015.0,+0020.0,+000.0
849.422654,+140.000,+83.3776,+020.00,+0015.0,+0020.0,+000.0
854.502985,+140.000,+83.4037,+020.00,+0015.0,+0020.0,+000.0
859.584791,+140.000,+83.3479,+020.00,+0015.0,+0020.0,+000.0
864.655623,+140.000,+83.2815,+020.00,+0015.0,+0020.0,+000.0
869.726512,+140.000,+83.2294,+020.00,+0015.0,+0020.0,+000.0
874.807482,+140.000,+83.1203,+020.00,+0015.0,+0020.0,+000.0
879.908571,+140.000,+83.1186,+020.00,+0015.0,+0020.0,+000.0
885.019331,+140.000,+83.0311,+020.00,+0015.0,+0020.0,+000.0
890.090211,+140.000,+83.0034,+020.00,+0015.0,+0020.0,+000.0
895.171497,+140.000,+82.9257,+020.00,+0015.0,+0020.0,+000.0
900.242698,+140.000,+82.9011,+020.00,+0015.0,+0020.0,+000.0
905.313451,+140.000,+82.8122,+020.00,+0015.0,+0020.0,+000.0
910.384622,+140.000,+82.7393,+020.00,+0015.0,+0020.0,+000.0
915.465422,+140.000,+82.7248,+020.00,+0015.0,+0020.0,+000.0
920.536667,+140.000,+82.6779,+020.00,+0015.0,+0020.0,+000.0
925.607462,+140.000,+82.5929,+020.00,+0015.0,+0020.0,+000.0
930.678413,+140.000,+82.5758,+020.00,+0015.0,+0020.0,+000.0
935.758292,+140.000,+82.4729,+020.00,+0015.0,+0020.0,+000.0
940.829743,+140.000,+82.5272,+020.00,+0015.0,+0020.0,+000.0
945.931418,+140.000,+82.3856,+020.00,+0015.0,+0020.0,+000.0
951.062052,+140.000,+82.3445,+020.00,+0015.0,+0020.0,+000.0
956.143711,+140.000,+82.2648,+020.00,+0015.0,+0020.0,+000.0
961.264757,+140.000,+82.2530,+020.00,+0015.0,+0020.0,+000.0
966.345130,+140.000,+82.2130,+020.00,+0015.0,+0020.0,+000.0
971.477421,+140.000,+82.1421,+020.00,+0015.0,+0020.0,+000.0
976.537393,+140.000,+82.0324,+020.00,+0015.0,+0020.0,+000.0
981.618315,+140.000,+82.0904,+020.00,+0015.0,+0020.0,+000.0
986.699317,+140.000,+82.0403,+020.00,+0015.0,+0020.0,+000.0
991.770288,+140.000,+81.9066,+020.00,+0015.0,+0020.0,+000.0
996.841302,+140.000,+81.8735,+020.00,+0015.0,+0020.0,+000.0
1001.942309,+140.000,+81.9135,+020.00,+0015.0,+0020.0,+000.0
1007.063435,+140.000,+81.8417,+020.00,+0015.0,+0020.0,+000.0
1012.134424,+140.000,+81.6699,+020.00,+0015.0,+0020.0,+000.0
1017.215343,+140.000,+81.6894,+020.00,+0015.0,+0020.0,+000.0
1022.296231,+140.000,+81.5896,+020.00,+0015.0,+0020.0,+000.0
1027.376761,+140.000,+81.5172,+020.00,+0015.0,+0020.0,+000.0
1032.448341,+140.000,+81.5737,+020.00,+0015.0,+0020.0,+000.0
1037.528135,+140.000,+81.4606,+020.00,+0015.0,+0020.0,+000.0
1042.620266,+140.000,+81.4263,+020.00,+0015.0,+0020.0,+000.0
1047.701224,+140.000,+81.4085,+020.00,+0015.0,+0020.0,+000.0
1052.772119,+140.000,+81.2140,+020.00,+0015.0,+0020.0,+000.0
1057.842605,+140.000,+81.2248,+020.00,+0015.0,+0020.0,+000.0
1062.954152,+140.000,+81.2501,+020.00,+0015.0,+0020.0,+000.0
1068.085336,+140.000,+81.1764,+020.00,+0015.0,+0020.0,+000.0
1073.156138,+140.000,+81.0774,+020.00,+0015.0,+0020.0,+000.0
1078.226298,+140.000,+81.1079,+020.00,+0015.0,+0020.0,+000.0
1083.307292,+140.000,+81.0613,+020.00,+0015.0,+0020.0,+000.0
1088.379033,+140.000,+80.9725,+020.00,+0015.0,+0020.0,+000.0
1093.449899,+140.000,+80.8885,+020.00,+0015.0,+0020.0,+000.0
1098.531234,+140.000,+80.9745,+020.00,+0015.0,+0020.0,+000.0
1103.622232,+140.000,+80.9250,+020.00,+0015.0,+0020.0,+000.0
1108.702069,+140.000,+80.9186,+020.00,+0015.0,+0020.0,+000.0
1113.773383,+140.000,+80.7887,+020.00,+0015.0,+0020.0,+000.0
1118.845171,+140.000,+80.7868,+020.00,+0015.0,+0020.0,+000.0
1123.976096,+140.000,+80.7361,+020.00,+0015.0,+0020.0,+000.0
1129.086766,+140.000,+80.7764,+020.00,+0015.0,+0020.0,+000.0
1134.187619,+140.000,+80.6385,+020.00,+0015.0,+0020.0,+000.0
1139.248057,+140.000,+80.6573,+020.00,+0015.0,+0020.0,+000.0
1144.329111,+140.000,+80.5254,+020.00,+0015.0,+0020.0,+000.0
1149.410035,+140.000,+80.5169,+020.00,+0015.0,+0020.0,+000.0
1154.507253,+140.000,+80.5838,+020.00,+0015.0,+0020.0,+000.0
1159.582972,+140.000,+80.4829,+020.00,+0015.0,+0020.0,+000.0
1164.653811,+140.000,+80.4223,+020.00,+0015.0,+0020.0,+000.0
1169.724001,+140.000,+80.3722,+020.00,+0015.0,+0020.0,+000.0
1174.825487,+140.000,+80.3760,+020.00,+0015.0,+0020.0,+000.0
1179.936091,+140.000,+80.3564,+020.00,+0015.0,+0020.0,+000.0
1185.047642,+140.000,+80.2510,+020.00,+0015.0,+0020.0,+000.0
1190.128771,+140.000,+80.2286,+020.00,+0015.0,+0020.0,+000.0
1195.209707,+140.000,+80.2217,+020.00,+0015.0,+0020.0,+000.0
1200.290325,+140.000,+80.2043,+020.00,+0015.0,+0020.0,+000.0
1205.351705,+140.000,+80.1698,+020.00,+0015.0,+0020.0,+000.0
1210.422558,+140.000,+80.1340,+020.00,+0015.0,+0020.0,+000.0
1215.504649,+140.000,+80.1329,+020.00,+0015.0,+0020.0,+000.0
1220.584714,+140.000,+80.1450,+020.00,+0015.0,+0020.0,+000.0
1225.664997,+140.000,+80.0408,+020.00,+0015.0,+0020.0,+000.0
1230.746458,+140.000,+79.9503,+020.00,+0015.0,+0020.0,+000.0
1235.827360,+140.000,+79.9602,+020.00,+0015.0,+0020.0,+000.0
1240.918010,+140.000,+79.9160,+020.00,+0015.0,+0020.0,+000.0
1246.059637,+140.000,+79.8829,+020.00,+0015.0,+0020.0,+000.0
1251.170169,+140.000,+79.8078,+020.00,+0015.0,+0020.0,+000.0
1256.251345,+140.000,+79.8194,+020.00,+0015.0,+0020.0,+000.0
1261.351961,+140.000,+79.7288,+020.00,+0015.0,+0020.0,+000.0
1266.453447,+140.000,+79.7473,+020.00,+0015.0,+0020.0,+000.0
