Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0.000000,+140.000,+78.3377,+020.00,+0015.0,+0020.0,+000.0
5.194637,+140.000,+78.2778,+020.00,+0015.0,+0020.0,+000.0
10.265517,+140.000,+78.2303,+020.00,+0015.0,+0020.0,+000.0
15.346963,+140.000,+78.2046,+020.00,+0015.0,+0020.0,+000.0
20.426839,+140.000,+78.1803,+020.00,+0015.0,+0020.0,+000.0
25.487902,+140.000,+78.1470,+020.00,+0015.0,+0020.0,+000.0
30.579615,+140.000,+78.1251,+020.00,+0015.0,+0020.0,+000.0
35.650767,+78.0899,+140.000,+78.0899,+020.00
40.731852,+140.000,+78.0675,+020.00,+0015.0,+0020.0,+000.0
45.802664,+140.000,+78.0403,+020.00,+0015.0,+0020.0,+000.0
50.883406,+140.000,+78.0255,+020.00,+0015.0,+0020.0,+000.0
55.964172,+140.000,+77.9988,+020.00,+0015.0,+0020.0,+000.0
61.045738,+140.000,+78.1698,+030.00,+0015.0,+0020.0,+000.0
66.166513,+140.000,+78.4033,+030.00,+0015.0,+0020.0,+000.0
71.237436,+140.000,+78.5229,+030.00,+0015.0,+0020.0,+000.0
76.318577,+140.000,+78.5960,+030.00,+0015.0,+0020.0,+000.0
81.389682,+140.000,+78.5996,+030.00,+0015.0,+0020.0,+000.0
86.470518,+140.000,+78.7017,+040.00,+0015.0,+0020.0,+000.0
91.541013,+140.000,+79.1763,+040.00,+0015.0,+0020.0,+000.0
96.621941,+140.000,+79.4805,+040.00,+0015.0,+0020.0,+000.0
101.693426,+140.000,+79.7112,+040.00,+0015.0,+0020.0,+000.0
106.763338,+140.000,+79.8614,+040.00,+0015.0,+0020.0,+000.0
111.835491,+140.000,+80.0426,+040.00,+0015.0,+0020.0,+000.0
116.896101,+140.000,+80.2042,+040.00,+0015.0,+0020.0,+000.0
121.977396,+140.000,+80.6963,+050.00,+0015.0,+0020.0,+000.0
127.067400,+140.000,+81.7054,+050.00,+0015.0,+0020.0,+000.0
132.189222,+140.000,+82.6965,+050.00,+0015.0,+0020.0,+000.0
137.270522,+140.000,+83.8042,+050.00,+0015.0,+0020.0,+000.0
142.341277,+140.000,+84.6977,+050.00,+0015.0,+0020.0,+000.0
147.411677,+140.000,+85.5850,+050.00,+0015.0,+0020.0,+000.0
152.482608,+140.000,+86.2539,+050.00,+0015.0,+0020.0,+000.0
157.564409,+140.000,+87.0408,+050.00,+0015.0,+0020.0,+000.0
162.634784,+140.000,+87.6639,+050.00,+0015.0,+0020.0,+000.0
167.706059,+140.000,+88.2713,+88.2713,+0015.0,+0020.0,+000.0
172.806928,+140.000,+88.8854,+88.8854,+0015.0,+0020.0,+000.0
177.897426,+140.000,+89.4955,+050.00,+0015.0,+0020.0,+000.0
182.978977,+140.000,+90.0813,+050.00,+0015.0,+0020.0,+000.0
188.069583,+140.000,+90.7806,+050.00,+0015.0,+0020.0,+000.0
193.211579,+140.000,+91.4305,+050.00,+0015.0,+0020.0,+000.0
198.342502,+140.000,+92.1311,+050.00,+0015.0,+0020.0,+000.0
203.443160,+140.000,+92.7886,+050.00,+0015.0,+0020.0,+000.0
208.563984,+140.000,+93.4880,+050.00,+0015.0,+0020.0,+000.0
213.655227,+140.000,+94.1097,+050.00,+0015.0,+0020.0,+000.0
218.766227,+140.000,+94.6825,+050.00,+0015.0,+0020.0,+000.0
223.851532,+140.000,+95.4545,+050.00,+0015.0,+0020.0,+000.0
228.938125,+140.000,+96.1332,+050.00,+0015.0,+0020.0,+000.0
234.008659,+140.000,+96.7911,+050.00,+0015.0,+0020.0,+000.0
239.109744,+140.000,+97.3337,+050.00,+0015.0,+0020.0,+000.0
244.230370,+140.000,+98.0356,+050.00,+0015.0,+0020.0,+000.0
249.302190,+140.000,+98.4982,+050.00,+0015.0,+0020.0,+000.0
254.382591,+140.000,+99.0769,+050.00,+0015.0,+0020.0,+000.0
259.464160,+140.000,+99.7611,+050.00,+0015.0,+0020.0,+000.0
