,Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0,1670518530.650694,80.0,127.527,0.0,130.0,50.0,0.0
1,1670518535.941865,80.0,127.54,0.0,130.0,50.0,0.0
2,1670518541.002294,80.0,127.546,0.0,130.0,50.0,0.0
3,1670518546.073368,80.0,127.54799999999999,0.0,130.0,50.0,0.0
4,1670518551.154727,80.0,127.542,0.0,130.0,50.0,0.0
5,1670518556.215803,80.0,127.425,0.0,130.0,50.0,0.0
6,1670518561.296909,80.0,127.41799999999999,0.0,130.0,50.0,0.0
7,1670518566.3777618,80.0,127.44200000000001,0.0,130.0,50.0,0.0
8,1670518571.4590259,80.0,127.459,0.0,130.0,50.0,0.0
9,1670518576.5198789,80.0,127.46,0.0,130.0,50.0,0.0
10,1670518581.59039,80.0,127.348,0.0,130.0,50.0,0.0
11,1670518586.662083,80.0,127.397,0.0,130.0,50.0,0.0
12,1670518591.74525,80.0,127.40700000000001,0.0,130.0,50.0,0.0
13,1670518596.823467,80.0,127.414,0.0,130.0,50.0,0.0
14,1670518601.899778,80.0,127.41799999999999,0.0,130.0,50.0,0.0
15,1670518606.996246,80.0,127.40799999999999,0.0,130.0,50.0,0.0
16,1670518612.0668,80.0,127.384,0.0,130.0,50.0,0.0
17,1670518617.138128,80.0,127.37799999999999,0.0,130.0,50.0,0.0
18,1670518622.219354,80.0,127.37299999999999,0.0,130.0,50.0,0.0
19,1670518627.2994401,80.0,127.361,0.0,130.0,50.0,0.0
20,1670518632.372446,80.0,127.368,0.0,130.0,50.0,0.0
21,1670518637.452557,80.0,127.31700000000001,0.0,130.0,50.0,0.0
22,1670518642.523428,80.0,127.324,0.0,130.0,50.0,0.0
23,1670518647.594302,80.0,127.307,0.0,130.0,50.0,0.0
24,1670518652.665448,80.0,127.30799999999999,0.0,130.0,50.0,0.0
25,1670518657.735817,80.0,127.29799999999999,0.0,130.0,50.0,0.0
26,1670518662.8174381,80.0,127.215,0.0,130.0,50.0,0.0
27,1670518667.8889132,80.0,127.209,0.0,130.0,50.0,0.0
28,1670518672.959906,80.0,127.22399999999999,0.0,130.0,50.0,0.0
29,1670518678.020616,80.0,127.22,0.0,130.0,50.0,0.0
30,1670518683.091327,80.0,127.20700000000001,0.0,130.0,50.0,0.0
31,1670518688.17246,80.0,127.20100000000001,0.0,130.0,50.0,0.0
32,1670518693.2338722,80.0,127.2,0.0,130.0,50.0,0.0
33,1670518698.3151288,80.0,127.197,0.0,130.0,50.0,0.0
34,1670518703.395133,80.0,127.163,0.0,130.0,50.0,0.0
35,1670518708.467256,80.0,127.15299999999999,0.0,130.0,50.0,0.0
36,1670518713.567981,80.0,127.11399999999999,0.0,130.0,50.0,0.0
37,1670518718.641076,80.0,127.117,0.0,130.0,50.0,0.0
38,1670518723.730129,80.0,127.116,0.0,130.0,50.0,0.0
39,1670518728.810602,80.0,127.111,0.0,130.0,50.0,0.0
40,1670518733.891683,80.0,127.095,0.0,130.0,50.0,0.0
41,1670518738.973233,80.0,127.09,0.0,130.0,50.0,0.0
42,1670518744.045501,80.0,127.072,0.0,130.0,50.0,0.0
43,1670518749.124352,80.0,127.041,0.0,130.0,50.0,0.0
44,1670518754.195359,80.0,127.042,0.0,130.0,50.0,0.0
45,1670518759.266985,80.0,127.023,0.0,130.0,50.0,0.0
46,1670518764.338491,80.0,127.022,0.0,130.0,50.0,0.0
47,1670518769.408734,80.0,126.917,0.0,130.0,50.0,0.0
48,1670518774.489459,80.0,126.93299999999999,0.0,130.0,50.0,0.0
49,1670518779.571593,80.0,126.921,0.0,130.0,50.0,0.0
50,1670518784.642751,80.0,126.917,0.0,130.0,50.0,0.0
51,1670518789.722465,80.0,126.90899999999999,0.0,130.0,50.0,0.0
52,1670518794.7947268,80.0,126.9,0.0,130.0,50.0,0.0
53,1670518799.86582,80.0,126.904,0.0,130.0,50.0,0.0
54,1670518804.926914,80.0,126.898,0.0,130.0,50.0,0.0
55,1670518810.017416,80.0,126.89399999999999,0.0,130.0,50.0,0.0
56,1670518815.099079,80.0,126.883,0.0,130.0,50.0,0.0
57,1670518820.179893,80.0,126.87899999999999,0.0,130.0,50.0,0.0
58,1670518825.2508788,80.0,126.774,0.0,130.0,50.0,0.0
59,1670518830.332006,80.0,126.824,0.0,130.0,50.0,0.0
60,1670518835.403008,80.0,126.838,0.0,130.0,50.0,0.0
61,1670518840.484268,80.0,126.837,0.0,130.0,50.0,0.0
62,1670518845.544384,80.0,126.815,0.0,130.0,50.0,0.0
63,1670518850.616071,80.0,126.807,0.0,130.0,50.0,0.0
64,1670518855.6869118,80.0,126.736,0.0,130.0,50.0,0.0
65,1670518860.7680528,80.0,126.736,0.0,130.0,50.0,0.0
66,1670518865.83935,80.0,126.757,0.0,130.0,50.0,0.0
67,1670518870.9201741,80.0,126.76799999999999,0.0,130.0,50.0,0.0
68,1670518876.001213,80.0,126.766,0.0,130.0,50.0,0.0
69,1670518881.072187,80.0,126.771,0.0,130.0,50.0,0.0
70,1670518886.133217,80.0,126.78,0.0,130.0,50.0,0.0
71,1670518891.2144868,80.0,126.764,0.0,130.0,50.0,0.0
72,1670518896.2846642,80.0,126.77,0.0,130.0,50.0,0.0
73,1670518901.355743,80.0,126.759,0.0,130.0,50.0,0.0
74,1670518906.437048,80.0,126.76299999999999,0.0,130.0,50.0,0.0
75,1670518911.5185,80.0,126.73700000000001,0.0,130.0,50.0,0.0
76,1670518916.589726,80.0,126.54700000000001,0.0,130.0,50.0,0.0
77,1670518921.659655,80.0,126.619,0.0,130.0,50.0,0.0
78,1670518926.74165,80.0,126.645,0.0,130.0,50.0,0.0
79,1670518931.8026881,80.0,126.65100000000001,0.0,130.0,50.0,0.0
80,1670518936.863936,80.0,126.666,0.0,130.0,50.0,0.0
81,1670518941.93482,80.0,126.67,0.0,130.0,50.0,0.0
82,1670518947.015764,80.0,126.53200000000001,0.0,130.0,50.0,0.0
83,1670518952.096778,80.0,126.59,0.0,130.0,50.0,0.0
84,1670518957.1577,80.0,126.61200000000001,0.0,130.0,50.0,0.0
85,1670518962.239794,80.0,126.554,0.0,130.0,50.0,0.0
86,1670518967.320191,80.0,126.52799999999999,0.0,130.0,50.0,0.0
87,1670518972.3909721,80.0,126.56200000000001,0.0,130.0,50.0,0.0
88,1670518977.461921,80.0,126.579,0.0,130.0,50.0,0.0
89,1670518982.55314,80.0,126.584,0.0,130.0,50.0,0.0
90,1670518987.633757,80.0,126.586,0.0,130.0,50.0,0.0
91,1670518992.714602,80.0,126.584,0.0,130.0,50.0,0.0
92,1670518997.79584,80.0,126.585,0.0,130.0,50.0,0.0
93,1670519002.886074,80.0,126.575,0.0,130.0,50.0,0.0
94,1670519007.968052,80.0,126.572,0.0,130.0,50.0,0.0
95,1670519013.0291731,80.0,126.56700000000001,0.0,130.0,50.0,0.0
96,1670519018.09011,80.0,126.493,0.0,130.0,50.0,0.0
97,1670519023.161467,80.0,126.516,0.0,130.0,50.0,0.0
98,1670519028.242423,80.0,126.501,0.0,130.0,50.0,0.0
99,1670519033.322825,80.0,126.499,0.0,130.0,50.0,0.0
100,1670519038.393865,80.0,126.499,0.0,130.0,50.0,0.0
101,1670519043.455465,80.0,126.46700000000001,0.0,130.0,50.0,0.0
102,1670519048.536417,80.0,126.435,0.0,130.0,50.0,0.0
103,1670519053.617615,80.0,126.449,0.0,130.0,50.0,0.0
104,1670519058.698756,80.0,126.45200000000001,0.0,130.0,50.0,0.0
105,1670519063.76973,80.0,126.449,0.0,130.0,50.0,0.0
106,1670519068.862315,80.0,126.43700000000001,0.0,130.0,50.0,0.0
107,1670519073.941317,80.0,126.41,0.0,130.0,50.0,0.0
108,1670519079.02267,80.0,126.40899999999999,0.0,130.0,50.0,0.0
109,1670519084.093856,80.0,126.412,0.0,130.0,50.0,0.0
110,1670519089.164702,80.0,126.399,0.0,130.0,50.0,0.0
111,1670519094.255862,80.0,126.398,0.0,130.0,50.0,0.0
112,1670519099.346208,80.0,126.376,0.0,130.0,50.0,0.0
113,1670519104.41814,80.0,126.34,0.0,130.0,50.0,0.0
114,1670519109.499018,80.0,126.344,0.0,130.0,50.0,0.0
115,1670519114.569747,80.0,126.34299999999999,0.0,130.0,50.0,0.0
116,1670519119.640985,80.0,126.29899999999999,0.0,130.0,50.0,0.0
117,1670519124.7219481,80.0,126.31200000000001,0.0,130.0,50.0,0.0
118,1670519129.792891,80.0,126.292,0.0,130.0,50.0,0.0
119,1670519134.864288,80.0,126.296,0.0,130.0,50.0,0.0
120,1670519139.9346051,80.0,126.07,0.0,130.0,50.0,0.0
121,1670519145.005917,80.0,126.146,0.0,130.0,50.0,0.0
122,1670519150.086164,80.0,126.18799999999999,0.0,130.0,50.0,0.0
123,1670519155.167963,80.0,126.20700000000001,0.0,130.0,50.0,0.0
124,1670519160.238201,80.0,126.22399999999999,0.0,130.0,50.0,0.0
125,1670519165.319541,80.0,126.23299999999999,0.0,130.0,50.0,0.0
126,1670519170.41028,80.0,126.22,0.0,130.0,50.0,0.0
127,1670519175.482258,80.0,126.214,0.0,130.0,50.0,0.0
128,1670519180.582438,80.0,126.227,0.0,130.0,50.0,0.0
129,1670519185.674825,80.0,126.194,0.0,130.0,50.0,0.0
130,1670519190.748471,80.0,126.198,0.0,130.0,50.0,0.0
131,1670519195.816576,80.0,126.20100000000001,0.0,130.0,50.0,0.0
132,1670519200.907025,80.0,126.21600000000001,0.0,130.0,50.0,0.0
133,1670519205.977735,80.0,125.955,0.0,130.0,50.0,0.0
134,1670519211.069448,80.0,126.04299999999999,0.0,130.0,50.0,0.0
135,1670519216.15049,80.0,126.101,0.0,130.0,50.0,0.0
136,1670519221.221459,80.0,126.10700000000001,0.0,130.0,50.0,0.0
137,1670519226.312607,80.0,126.12100000000001,0.0,130.0,50.0,0.0
138,1670519231.3836641,80.0,126.149,0.0,130.0,50.0,0.0
139,1670519236.4667802,80.0,126.167,0.0,130.0,50.0,0.0
140,1670519241.545931,80.0,126.18,0.0,130.0,50.0,0.0
141,1670519246.616743,80.0,126.191,0.0,130.0,50.0,0.0
142,1670519251.687595,80.0,126.184,0.0,130.0,50.0,0.0
143,1670519256.768289,80.0,126.19200000000001,0.0,130.0,50.0,0.0
144,1670519261.839861,80.0,126.2,0.0,130.0,50.0,0.0
145,1670519266.920742,80.0,126.199,0.0,130.0,50.0,0.0
146,1670519271.991648,80.0,126.213,0.0,130.0,50.0,0.0
147,1670519277.062979,80.0,126.19200000000001,0.0,130.0,50.0,0.0
148,1670519282.143904,80.0,126.14,0.0,130.0,50.0,0.0
149,1670519287.215323,80.0,126.13600000000001,0.0,130.0,50.0,0.0
150,1670519292.285652,80.0,126.152,0.0,130.0,50.0,0.0
151,1670519297.365993,80.0,126.14,5.0,130.0,50.0,0.0
152,1670519302.438034,80.0,126.085,5.0,130.0,50.0,0.0
153,1670519307.5190449,80.0,126.13600000000001,5.0,130.0,50.0,0.0
154,1670519312.59023,80.0,126.179,5.0,130.0,50.0,0.0
155,1670519317.6613722,80.0,126.189,5.0,130.0,50.0,0.0
156,1670519322.742545,80.0,126.193,5.0,130.0,50.0,0.0
157,1670519327.8233562,80.0,126.209,5.0,130.0,50.0,0.0
158,1670519332.884715,80.0,126.212,5.0,130.0,50.0,0.0
159,1670519337.9653609,80.0,126.18299999999999,5.0,130.0,50.0,0.0
160,1670519343.045682,80.0,126.18799999999999,5.0,130.0,50.0,0.0
161,1670519348.116905,80.0,126.137,5.0,130.0,50.0,0.0
162,1670519353.187775,80.0,126.166,5.0,130.0,50.0,0.0
163,1670519358.268775,80.0,126.182,5.0,130.0,50.0,0.0
164,1670519363.3500538,80.0,126.209,5.0,130.0,50.0,0.0
165,1670519368.432209,80.0,126.223,5.0,130.0,50.0,0.0
166,1670519373.492509,80.0,126.245,5.0,130.0,50.0,0.0
168,1670519383.673707,80.0,126.225,5.0,130.0,50.0,0.0
169,1670519388.745697,80.0,126.255,5.0,130.0,50.0,0.0
170,1670519393.816134,80.0,126.244,5.0,130.0,50.0,0.0
171,1670519398.877326,80.0,126.265,5.0,130.0,50.0,0.0
172,1670519403.97794,80.0,126.225,5.0,130.0,50.0,0.0
