Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
1670590442.553528,+400.000,+385.365,+000.00,+0130.0,+0050.0,+000.0
1670590447.735036,+400.000,+381.341,+000.00,+0130.0,+0050.0,+000.0
1670590452.853392,+400.000,+378.555,+000.00,+0130.0,+0050.0,+000.0
1670590458.015194,+400.000,+375.239,+000.00,+0130.0,+0050.0,+000.0
1670590463.135750,+400.000,+372.901,+000.00,+0130.0,+0050.0,+000.0
1670590468.292099,+400.000,+369.995,+000.00,+0130.0,+0050.0,+000.0
1670590473.382818,+400.000,+368.184,+000.00,+0130.0,+0050.0,+000.0
1670590478.473487,+400.000,+365.736,+000.00,+0130.0,+0050.0,+000.0
1670590483.569333,+400.000,+363.876,+000.00,+0130.0,+0050.0,+000.0
1670590488.682308,+400.000,+361.537,+000.00,+0130.0,+0050.0,+000.0
1670590493.768360,+400.000,+360.179,+000.00,+0130.0,+0050.0,+000.0
1670590498.872490,+400.000,+357.883,+000.00,+0130.0,+0050.0,+000.0
1670590503.999515,+400.000,+356.780,+000.00,+0130.0,+0050.0,+000.0
1670590509.074794,+400.000,+354.841,+000.00,+0130.0,+0050.0,+000.0
1670590514.160991,+400.000,+353.537,+000.00,+0130.0,+0050.0,+000.0
1670590519.221967,+400.000,+351.905,+000.00,+0130.0,+0050.0,+000.0
1670590524.284113,+400.000,+350.410,+000.00,+0130.0,+0050.0,+000.0
1670590529.368174,+400.000,+349.269,+000.00,+0130.0,+0050.0,+000.0
1670590534.456596,+400.000,+347.744,+000.00,+0130.0,+0050.0,+000.0
1670590539.517067,+400.000,+346.765,+000.00,+0130.0,+0050.0,+000.0
1670590544.596882,+400.000,+344.625,+000.00,+0130.0,+0050.0,+000.0
1670590549.668163,+400.000,+344.203,+000.00,+0130.0,+0050.0,+000.0
1670590554.740330,+400.000,+342.471,+000.00,+0130.0,+0050.0,+000.0
1670590559.831016,+400.000,+341.531,+000.00,+0130.0,+0050.0,+000.0
1670590564.911486,+400.000,+340.235,+000.00,+0130.0,+0050.0,+000.0
1670590569.991477,+400.000,+339.141,+000.00,+0130.0,+0050.0,+000.0
1670590575.062586,+400.000,+338.063,+000.00,+0130.0,+0050.0,+000.0
1670590580.124760,+400.000,+336.236,+000.00,+0130.0,+0050.0,+000.0
1670590585.215440,+400.000,+335.939,+000.00,+0130.0,+0050.0,+000.0
1670590590.296278,+400.000,+334.053,+000.00,+0130.0,+0050.0,+000.0
1670590595.367419,+400.000,+333.571,+000.00,+0130.0,+0050.0,+000.0
1670590600.437745,+400.000,+331.885,+000.00,+0130.0,+0050.0,+000.0
1670590605.518479,+400.000,+331.579,+000.00,+0130.0,+0050.0,+000.0
1670590610.612662,+400.000,+330.102,+000.00,+0130.0,+0050.0,+000.0
1670590615.731266,+400.000,+329.005,+000.00,+0130.0,+0050.0,+000.0
1670590620.817410,+400.000,+328.373,+000.00,+0130.0,+0050.0,+000.0
1670590625.913187,+400.000,+326.574,+000.00,+0130.0,+0050.0,+000.0
1670590631.004908,+400.000,+325.890,+000.00,+0130.0,+0050.0,+000.0
1670590636.119891,+400.000,+324.922,+000.00,+0130.0,+0050.0,+000.0
1670590641.276015,+400.000,+323.960,+000.00,+0130.0,+0050.0,+000.0
1670590646.337466,+400.000,+323.044,+000.00,+0130.0,+0050.0,+000.0
1670590651.419352,+400.000,+321.981,+000.00,+0130.0,+0050.0,+000.0
1670590656.530790,+400.000,+321.002,+000.00,+0130.0,+0050.0,+000.0
1670590661.622352,+400.000,+319.920,+000.00,+0130.0,+0050.0,+000.0
1670590666.730870,+400.000,+318.871,+000.00,+0130.0,+0050.0,+000.0
1670590671.812109,+400.000,+318.225,+000.00,+0130.0,+0050.0,+000.0
1670590676.897989,+400.000,+316.876,+000.00,+0130.0,+0050.0,+000.0
1670590682.023830,+400.000,+316.211,+000.00,+0130.0,+0050.0,+000.0
1670590687.116770,+400.000,+315.231,+000.00,+0130.0,+0050.0,+000.0
1670590692.216176,+400.000,+314.170,+000.00,+0130.0,+0050.0,+000.0
1670590697.299141,+400.000,+313.153,+000.00,+0130.0,+0050.0,+000.0
1670590702.394406,+400.000,+312.403,+000.00,+0130.0,+0050.0,+000.0
1670590707.488443,+400.000,+311.319,+000.00,+0130.0,+0050.0,+000.0
1670590712.571603,+400.000,+310.455,+000.00,+0130.0,+0050.0,+000.0
1670590717.641726,+400.000,+309.154,+000.00,+0130.0,+0050.0,+000.0
1670590722.736900,+400.000,+308.549,+000.00,+0130.0,+0050.0,+000.0
1670590727.853146,+400.000,+307.407,+000.00,+0130.0,+0050.0,+000.0
1670590732.945661,+400.000,+306.597,+000.00,+0130.0,+0050.0,+000.0
1670590738.046752,+400.000,+305.329,+000.00,+0130.0,+0050.0,+000.0
1670590743.136235,+400.000,+304.892,+000.00,+0130.0,+0050.0,+000.0
1670590748.206863,+400.000,+303.678,+000.00,+0130.0,+0050.0,+000.0
1670590753.303895,+400.000,+302.983,+000.00,+0130.0,+0050.0,+000.0
1670590758.404777,+400.000,+301.904,+000.00,+0130.0,+0050.0,+000.0
1670590763.507367,+400.000,+300.833,+000.00,+0130.0,+0050.0,+000.0
1670590768.582956,+400.000,+300.419,+000.00,+0130.0,+0050.0,+000.0
1670590773.665670,+400.000,+298.934,+000.00,+0130.0,+0050.0,+000.0
1670590778.736350,+400.000,+298.584,+000.00,+0130.0,+0050.0,+000.0
1670590783.824395,+400.000,+297.450,+000.00,+0130.0,+0050.0,+000.0
1670590788.905720,+400.000,+296.440,+000.00,+0130.0,+0050.0,+000.0
1670590793.976031,+400.000,+295.764,+000.00,+0130.0,+0050.0,+000.0
1670590799.046897,+400.000,+294.728,+000.00,+0130.0,+0050.0,+000.0
1670590804.139344,+400.000,+293.815,+000.00,+0130.0,+0050.0,+000.0
1670590809.231141,+400.000,+293.158,+000.00,+0130.0,+0050.0,+000.0
1670590814.310352,+400.000,+292.283,+000.00,+0130.0,+0050.0,+000.0
1670590819.390725,+400.000,+291.438,+000.00,+0130.0,+0050.0,+000.0
1670590824.462853,+400.000,+290.447,+000.00,+0130.0,+0050.0,+000.0
1670590829.532944,+400.000,+289.900,+000.00,+0130.0,+0050.0,+000.0
1670590834.614695,+400.000,+288.500,+000.00,+0130.0,+0050.0,+000.0
1670590839.684795,+400.000,+288.323,+000.00,+0130.0,+0050.0,+000.0
1670590844.756476,+400.000,+287.011,+000.00,+0130.0,+0050.0,+000.0
1670590849.829921,+400.000,+286.396,+000.00,+0130.0,+0050.0,+000.0
1670590854.919230,+400.000,+285.725,+000.00,+0130.0,+0050.0,+000.0
1670590859.989084,+400.000,+284.564,+000.00,+0130.0,+0050.0,+000.0
1670590865.080500,+400.000,+284.131,+000.00,+0130.0,+0050.0,+000.0
1670590870.160964,+400.000,+283.050,+000.00,+0130.0,+0050.0,+000.0
1670590875.232157,+400.000,+282.507,+000.00,+0130.0,+0050.0,+000.0
1670590880.318426,+400.000,+281.159,+000.00,+0130.0,+0050.0,+000.0
1670590885.414760,+400.000,+280.764,+000.00,+0130.0,+0050.0,+000.0
1670590890.496702,+400.000,+279.568,+000.00,+0130.0,+0050.0,+000.0
1670590895.596405,+400.000,+279.162,+000.00,+0130.0,+0050.0,+000.0
1670590900.667397,+400.000,+277.911,+000.00,+0130.0,+0050.0,+000.0
1670590905.749010,+400.000,+277.614,+000.00,+0130.0,+0050.0,+000.0
1670590910.819600,+400.000,+276.212,+000.00,+0130.0,+0050.0,+000.0
1670590915.890451,+400.000,+276.017,+000.00,+0130.0,+0050.0,+000.0
1670590920.974085,+400.000,+274.719,+000.00,+0130.0,+0050.0,+000.0
1670590926.071706,+400.000,+274.218,+000.00,+0130.0,+0050.0,+000.0
1670590931.152986,+400.000,+273.341,+000.00,+0130.0,+0050.0,+000.0
1670590936.237411,+400.000,+272.429,+000.00,+0130.0,+0050.0,+000.0
1670590941.296817,+400.000,+271.782,+000.00,+0130.0,+0050.0,+000.0
1670590946.366505,+400.000,+270.529,+000.00,+0130.0,+0050.0,+000.0
1670590951.437591,+400.000,+270.415,+000.00,+0130.0,+0050.0,+000.0
1670590956.518319,+400.000,+268.932,+000.00,+0130.0,+0050.0,+000.0
1670590961.599337,+400.000,+268.819,+000.00,+0130.0,+0050.0,+000.0
1670590966.691528,+400.000,+267.562,+000.00,+0130.0,+0050.0,+000.0
1670590971.771205,+400.000,+267.164,+000.00,+0130.0,+0050.0,+000.0
1670590976.872430,+400.000,+266.363,+000.00,+0130.0,+0050.0,+000.0
1670590981.952760,+400.000,+265.655,+000.00,+0130.0,+0050.0,+000.0
1670590987.036378,+400.000,+264.954,+000.00,+0130.0,+0050.0,+000.0
1670590992.105842,+400.000,+264.046,+000.00,+0130.0,+0050.0,+000.0
1670590997.181043,+400.000,+263.369,+000.00,+0130.0,+0050.0,+000.0
1670591002.260023,+400.000,+262.353,+000.00,+0130.0,+0050.0,+000.0
1670591007.328331,+400.000,+261.975,+000.00,+0130.0,+0050.0,+000.0
1670591012.401830,+400.000,+261.255,+000.00,+0130.0,+0050.0,+000.0
1670591017.460477,+400.000,+260.296,+000.00,+0130.0,+0050.0,+000.0
1670591022.551176,+400.000,+259.611,+000.00,+0130.0,+0050.0,+000.0
1670591027.632056,+400.000,+258.699,+000.00,+0130.0,+0050.0,+000.0
1670591032.712926,+400.000,+258.403,+000.00,+0130.0,+0050.0,+000.0
1670591037.794618,+400.000,+257.494,+000.00,+0130.0,+0050.0,+000.0
1670591042.875560,+400.000,+257.102,+000.00,+0130.0,+0050.0,+000.0
1670591047.959757,+400.000,+255.991,+000.00,+0130.0,+0050.0,+000.0
1670591053.047745,+400.000,+255.356,+000.00,+0130.0,+0050.0,+000.0
1670591058.132400,+400.000,+254.912,+000.00,+0130.0,+0050.0,+000.0
1670591063.208829,+400.000,+253.763,+000.00,+0130.0,+0050.0,+000.0
1670591068.280101,+400.000,+253.157,+000.00,+0130.0,+0050.0,+000.0
1670591073.365315,+400.000,+252.519,+000.00,+0130.0,+0050.0,+000.0
1670591078.452262,+400.000,+251.350,+000.00,+0130.0,+0050.0,+000.0
1670591083.523374,+400.000,+251.225,+000.00,+0130.0,+0050.0,+000.0
1670591088.605969,+400.000,+250.273,+000.00,+0130.0,+0050.0,+000.0
1670591093.665798,+400.000,+249.808,+000.00,+0130.0,+0050.0,+000.0
1670591098.746028,+400.000,+248.906,+000.00,+0130.0,+0050.0,+000.0
1670591103.817405,+400.000,+248.292,+000.00,+0130.0,+0050.0,+000.0
1670591108.887921,+400.000,+247.748,+000.00,+0130.0,+0050.0,+000.0
1670591113.969623,+400.000,+246.924,+000.00,+0130.0,+0050.0,+000.0
1670591119.041069,+400.000,+246.297,+000.00,+0130.0,+0050.0,+000.0
1670591124.124859,+400.000,+245.827,+000.00,+0130.0,+0050.0,+000.0
1670591129.202105,+400.000,+244.819,+000.00,+0130.0,+0050.0,+000.0
1670591134.273328,+400.000,+244.487,+000.00,+0130.0,+0050.0,+000.0
1670591139.354031,+400.000,+243.475,+000.00,+0130.0,+0050.0,+000.0
1670591144.445204,+400.000,+243.278,+000.00,+0130.0,+0050.0,+000.0
