Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0.000000,296.3,296.315,0.0,25.0,15.0,0.0
5.129031,296.3,296.314,0.0,25.0,15.0,0.0
10.251714,296.3,296.314,0.0,25.0,15.0,0.0
15.375061,296.3,296.313,0.0,25.0,15.0,0.0
20.506811,296.3,296.311,0.0,25.0,15.0,0.0
25.636650,296.3,296.312,90.0,25.0,15.0,0.0
30.768070,296.3,296.312,90.0,25.0,15.0,0.0
35.895768,296.3,296.311,90.0,25.0,15.0,0.0
41.023490,296.3,296.311,90.0,25.0,15.0,0.0
46.155145,296.3,296.31,90.0,25.0,15.0,0.0
51.285607,296.3,296.31,0.0,25.0,15.0,0.0
56.420705,296.3,296.309,0.0,25.0,15.0,0.0
61.546981,296.3,296.308,0.0,25.0,15.0,0.0
66.672700,296.3,296.308,0.0,25.0,15.0,0.0
71.799161,296.3,296.308,0.0,25.0,15.0,0.0
