Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
1669219467.815763,+300.000,+299.327,+000.00,+0130.0,+0050.0,+000.0
1669219468.872153,+300.000,+299.326,+000.00,+0130.0,+0050.0,+000.0
1669219469.929264,+300.000,+299.326,+000.00,+0130.0,+0050.0,+000.0
1669219470.984419,+300.000,+299.325,+000.00,+0130.0,+0050.0,+000.0
1669219472.034582,+300.000,+299.325,+000.00,+0130.0,+0050.0,+000.0
1669219473.111683,+300.000,+299.324,+000.00,+0130.0,+0050.0,+000.0
1669219474.210482,+300.000,+299.324,+000.00,+0130.0,+0050.0,+000.0
1669219475.254896,+300.000,+299.324,+000.00,+0130.0,+0050.0,+000.0
1669219476.307364,+300.000,+299.323,+000.00,+0130.0,+0050.0,+000.0
1669219477.359541,+300.000,+299.323,+000.00,+0130.0,+0050.0,+000.0
1669219478.407984,+300.000,+299.322,+000.00,+0130.0,+0050.0,+000.0
1669219479.461333,+300.000,+299.322,+000.00,+0130.0,+0050.0,+000.0
1669219480.541750,+300.000,+299.321,+000.00,+0130.0,+0050.0,+000.0
1669219481.598398,+300.000,+299.320,+000.00,+0130.0,+0050.0,+000.0
1669219482.650687,+300.000,+299.320,+000.00,+0130.0,+0050.0,+000.0
1669219483.699364,+300.000,+299.320,+000.00,+0130.0,+0050.0,+000.0
1669219484.747443,+300.000,+299.320,+000.00,+0130.0,+0050.0,+000.0
