Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
1670518530.650694,+80.0000,+127.527,+000.00,+0130.0,+0050.0,+000.0
1670518535.941865,+80.0000,+127.540,+000.00,+0130.0,+0050.0,+000.0
1670518541.002294,+80.0000,+127.546,+000.00,+0130.0,+0050.0,+000.0
1670518546.073368,+80.0000,+127.548,+000.00,+0130.0,+0050.0,+000.0
1670518551.154727,+80.0000,+127.542,+000.00,+0130.0,+0050.0,+000.0
1670518556.215803,+80.0000,+127.425,+000.00,+0130.0,+0050.0,+000.0
1670518561.296909,+80.0000,+127.418,+000.00,+0130.0,+0050.0,+000.0
1670518566.377762,+80.0000,+127.442,+000.00,+0130.0,+0050.0,+000.0
1670518571.459026,+80.0000,+127.459,+000.00,+0130.0,+0050.0,+000.0
1670518576.519879,+80.0000,+127.460,+000.00,+0130.0,+0050.0,+000.0
1670518581.590390,+80.0000,+127.348,+000.00,+0130.0,+0050.0,+000.0
1670518586.662083,+80.0000,+127.397,+000.00,+0130.0,+0050.0,+000.0
1670518591.745250,+80.0000,+127.407,+000.00,+0130.0,+0050.0,+000.0
1670518596.823467,+80.0000,+127.414,+000.00,+0130.0,+0050.0,+000.0
1670518601.899778,+80.0000,+127.418,+000.00,+0130.0,+0050.0,+000.0
1670518606.996246,+80.0000,+127.408,+000.00,+0130.0,+0050.0,+000.0
1670518612.066800,+80.0000,+127.384,+000.00,+0130.0,+0050.0,+000.0
1670518617.138128,+80.0000,+127.378,+000.00,+0130.0,+0050.0,+000.0
1670518622.219354,+80.0000,+127.373,+000.00,+0130.0,+0050.0,+000.0
1670518627.299440,+80.0000,+127.361,+000.00,+0130.0,+0050.0,+000.0
1670518632.372446,+80.0000,+127.368,+000.00,+0130.0,+0050.0,+000.0
1670518637.452557,+80.0000,+127.317,+000.00,+0130.0,+0050.0,+000.0
1670518642.523428,+80.0000,+127.324,+000.00,+0130.0,+0050.0,+000.0
1670518647.594302,+80.0000,+127.307,+000.00,+0130.0,+0050.0,+000.0
1670518652.665448,+80.0000,+127.308,+000.00,+0130.0,+0050.0,+000.0
1670518657.735817,+80.0000,+127.298,+000.00,+0130.0,+0050.0,+000.0
1670518662.817438,+80.0000,+127.215,+000.00,+0130.0,+0050.0,+000.0
1670518667.888913,+80.0000,+127.209,+000.00,+0130.0,+0050.0,+000.0
1670518672.959906,+80.0000,+127.224,+000.00,+0130.0,+0050.0,+000.0
1670518678.020616,+80.0000,+127.220,+000.00,+0130.0,+0050.0,+000.0
1670518683.091327,+80.0000,+127.207,+000.00,+0130.0,+0050.0,+000.0
1670518688.172460,+80.0000,+127.201,+000.00,+0130.0,+0050.0,+000.0
1670518693.233872,+80.0000,+127.200,+000.00,+0130.0,+0050.0,+000.0
1670518698.315129,+80.0000,+127.197,+000.00,+0130.0,+0050.0,+000.0
1670518703.395133,+80.0000,+127.163,+000.00,+0130.0,+0050.0,+000.0
1670518708.467256,+80.0000,+127.153,+000.00,+0130.0,+0050.0,+000.0
1670518713.567981,+80.0000,+127.114,+000.00,+0130.0,+0050.0,+000.0
1670518718.641076,+80.0000,+127.117,+000.00,+0130.0,+0050.0,+000.0
1670518723.730129,+80.0000,+127.116,+000.00,+0130.0,+0050.0,+000.0
1670518728.810602,+80.0000,+127.111,+000.00,+0130.0,+0050.0,+000.0
1670518733.891683,+80.0000,+127.095,+000.00,+0130.0,+0050.0,+000.0
1670518738.973233,+80.0000,+127.090,+000.00,+0130.0,+0050.0,+000.0
1670518744.045501,+80.0000,+127.072,+000.00,+0130.0,+0050.0,+000.0
1670518749.124352,+80.0000,+127.041,+000.00,+0130.0,+0050.0,+000.0
1670518754.195359,+80.0000,+127.042,+000.00,+0130.0,+0050.0,+000.0
1670518759.266985,+80.0000,+127.023,+000.00,+0130.0,+0050.0,+000.0
1670518764.338491,+80.0000,+127.022,+000.00,+0130.0,+0050.0,+000.0
1670518769.408734,+80.0000,+126.917,+000.00,+0130.0,+0050.0,+000.0
1670518774.489459,+80.0000,+126.933,+000.00,+0130.0,+0050.0,+000.0
1670518779.571593,+80.0000,+126.921,+000.00,+0130.0,+0050.0,+000.0
1670518784.642751,+80.0000,+126.917,+000.00,+0130.0,+0050.0,+000.0
1670518789.722465,+80.0000,+126.909,+000.00,+0130.0,+0050.0,+000.0
1670518794.794727,+80.0000,+126.900,+000.00,+0130.0,+0050.0,+000.0
1670518799.865820,+80.0000,+126.904,+000.00,+0130.0,+0050.0,+000.0
1670518804.926914,+80.0000,+126.898,+000.00,+0130.0,+0050.0,+000.0
1670518810.017416,+80.0000,+126.894,+000.00,+0130.0,+0050.0,+000.0
1670518815.099079,+80.0000,+126.883,+000.00,+0130.0,+0050.0,+000.0
1670518820.179893,+80.0000,+126.879,+000.00,+0130.0,+0050.0,+000.0
1670518825.250879,+80.0000,+126.774,+000.00,+0130.0,+0050.0,+000.0
1670518830.332006,+80.0000,+126.824,+000.00,+0130.0,+0050.0,+000.0
1670518835.403008,+80.0000,+126.838,+000.00,+0130.0,+0050.0,+000.0
1670518840.484268,+80.0000,+126.837,+000.00,+0130.0,+0050.0,+000.0
1670518845.544384,+80.0000,+126.815,+000.00,+0130.0,+0050.0,+000.0
1670518850.616071,+80.0000,+126.807,+000.00,+0130.0,+0050.0,+000.0
1670518855.686912,+80.0000,+126.736,+000.00,+0130.0,+0050.0,+000.0
1670518860.768053,+80.0000,+126.736,+000.00,+0130.0,+0050.0,+000.0
1670518865.839350,+80.0000,+126.757,+000.00,+0130.0,+0050.0,+000.0
1670518870.920174,+80.0000,+126.768,+000.00,+0130.0,+0050.0,+000.0
1670518876.001213,+80.0000,+126.766,+000.00,+0130.0,+0050.0,+000.0
1670518881.072187,+80.0000,+126.771,+000.00,+0130.0,+0050.0,+000.0
1670518886.133217,+80.0000,+126.780,+000.00,+0130.0,+0050.0,+000.0
1670518891.214487,+80.0000,+126.764,+000.00,+0130.0,+0050.0,+000.0
1670518896.284664,+80.0000,+126.770,+000.00,+0130.0,+0050.0,+000.0
1670518901.355743,+80.0000,+126.759,+000.00,+0130.0,+0050.0,+000.0
1670518906.437048,+80.0000,+126.763,+000.00,+0130.0,+0050.0,+000.0
1670518911.518500,+80.0000,+126.737,+000.00,+0130.0,+0050.0,+000.0
1670518916.589726,+80.0000,+126.547,+000.00,+0130.0,+0050.0,+000.0
1670518921.659655,+80.0000,+126.619,+000.00,+0130.0,+0050.0,+000.0
1670518926.741650,+80.0000,+126.645,+000.00,+0130.0,+0050.0,+000.0
1670518931.802688,+80.0000,+126.651,+000.00,+0130.0,+0050.0,+000.0
1670518936.863936,+80.0000,+126.666,+000.00,+0130.0,+0050.0,+000.0
1670518941.934820,+80.0000,+126.670,+000.00,+0130.0,+0050.0,+000.0
1670518947.015764,+80.0000,+126.532,+000.00,+0130.0,+0050.0,+000.0
1670518952.096778,+80.0000,+126.590,+000.00,+0130.0,+0050.0,+000.0
1670518957.157700,+80.0000,+126.612,+000.00,+0130.0,+0050.0,+000.0
1670518962.239794,+80.0000,+126.554,+000.00,+0130.0,+0050.0,+000.0
1670518967.320191,+80.0000,+126.528,+000.00,+0130.0,+0050.0,+000.0
1670518972.390972,+80.0000,+126.562,+000.00,+0130.0,+0050.0,+000.0
1670518977.461921,+80.0000,+126.579,+000.00,+0130.0,+0050.0,+000.0
1670518982.553140,+80.0000,+126.584,+000.00,+0130.0,+0050.0,+000.0
1670518987.633757,+80.0000,+126.586,+000.00,+0130.0,+0050.0,+000.0
1670518992.714602,+80.0000,+126.584,+000.00,+0130.0,+0050.0,+000.0
1670518997.795840,+80.0000,+126.585,+000.00,+0130.0,+0050.0,+000.0
1670519002.886074,+80.0000,+126.575,+000.00,+0130.0,+0050.0,+000.0
1670519007.968052,+80.0000,+126.572,+000.00,+0130.0,+0050.0,+000.0
1670519013.029173,+80.0000,+126.567,+000.00,+0130.0,+0050.0,+000.0
1670519018.090110,+80.0000,+126.493,+000.00,+0130.0,+0050.0,+000.0
1670519023.161467,+80.0000,+126.516,+000.00,+0130.0,+0050.0,+000.0
1670519028.242423,+80.0000,+126.501,+000.00,+0130.0,+0050.0,+000.0
1670519033.322825,+80.0000,+126.499,+000.00,+0130.0,+0050.0,+000.0
1670519038.393865,+80.0000,+126.499,+000.00,+0130.0,+0050.0,+000.0
1670519043.455465,+80.0000,+126.467,+000.00,+0130.0,+0050.0,+000.0
1670519048.536417,+80.0000,+126.435,+000.00,+0130.0,+0050.0,+000.0
1670519053.617615,+80.0000,+126.449,+000.00,+0130.0,+0050.0,+000.0
1670519058.698756,+80.0000,+126.452,+000.00,+0130.0,+0050.0,+000.0
1670519063.769730,+80.0000,+126.449,+000.00,+0130.0,+0050.0,+000.0
1670519068.862315,+80.0000,+126.437,+000.00,+0130.0,+0050.0,+000.0
1670519073.941317,+80.0000,+126.410,+000.00,+0130.0,+0050.0,+000.0
1670519079.022670,+80.0000,+126.409,+000.00,+0130.0,+0050.0,+000.0
1670519084.093856,+80.0000,+126.412,+000.00,+0130.0,+0050.0,+000.0
1670519089.164702,+80.0000,+126.399,+000.00,+0130.0,+0050.0,+000.0
1670519094.255862,+80.0000,+126.398,+000.00,+0130.0,+0050.0,+000.0
1670519099.346208,+80.0000,+126.376,+000.00,+0130.0,+0050.0,+000.0
1670519104.418140,+80.0000,+126.340,+000.00,+0130.0,+0050.0,+000.0
1670519109.499018,+80.0000,+126.344,+000.00,+0130.0,+0050.0,+000.0
1670519114.569747,+80.0000,+126.343,+000.00,+0130.0,+0050.0,+000.0
1670519119.640985,+80.0000,+126.299,+000.00,+0130.0,+0050.0,+000.0
1670519124.721948,+80.0000,+126.312,+000.00,+0130.0,+0050.0,+000.0
1670519129.792891,+80.0000,+126.292,+000.00,+0130.0,+0050.0,+000.0
1670519134.864288,+80.0000,+126.296,+000.00,+0130.0,+0050.0,+000.0
1670519139.934605,+80.0000,+126.070,+000.00,+0130.0,+0050.0,+000.0
1670519145.005917,+80.0000,+126.146,+000.00,+0130.0,+0050.0,+000.0
1670519150.086164,+80.0000,+126.188,+000.00,+0130.0,+0050.0,+000.0
1670519155.167963,+80.0000,+126.207,+000.00,+0130.0,+0050.0,+000.0
1670519160.238201,+80.0000,+126.224,+000.00,+0130.0,+0050.0,+000.0
1670519165.319541,+80.0000,+126.233,+000.00,+0130.0,+0050.0,+000.0
1670519170.410280,+80.0000,+126.220,+000.00,+0130.0,+0050.0,+000.0
1670519175.482258,+80.0000,+126.214,+000.00,+0130.0,+0050.0,+000.0
1670519180.582438,+80.0000,+126.227,+000.00,+0130.0,+0050.0,+000.0
1670519185.674825,+80.0000,+126.194,+000.00,+0130.0,+0050.0,+000.0
1670519190.748471,+80.0000,+126.198,+000.00,+0130.0,+0050.0,+000.0
1670519195.816576,+80.0000,+126.201,+000.00,+0130.0,+0050.0,+000.0
1670519200.907025,+80.0000,+126.216,+000.00,+0130.0,+0050.0,+000.0
1670519205.977735,+80.0000,+125.955,+000.00,+0130.0,+0050.0,+000.0
1670519211.069448,+80.0000,+126.043,+000.00,+0130.0,+0050.0,+000.0
1670519216.150490,+80.0000,+126.101,+000.00,+0130.0,+0050.0,+000.0
1670519221.221459,+80.0000,+126.107,+000.00,+0130.0,+0050.0,+000.0
1670519226.312607,+80.0000,+126.121,+000.00,+0130.0,+0050.0,+000.0
1670519231.383664,+80.0000,+126.149,+000.00,+0130.0,+0050.0,+000.0
1670519236.466780,+80.0000,+126.167,+000.00,+0130.0,+0050.0,+000.0
1670519241.545931,+80.0000,+126.180,+000.00,+0130.0,+0050.0,+000.0
1670519246.616743,+80.0000,+126.191,+000.00,+0130.0,+0050.0,+000.0
1670519251.687595,+80.0000,+126.184,+000.00,+0130.0,+0050.0,+000.0
1670519256.768289,+80.0000,+126.192,+000.00,+0130.0,+0050.0,+000.0
1670519261.839861,+80.0000,+126.200,+000.00,+0130.0,+0050.0,+000.0
1670519266.920742,+80.0000,+126.199,+000.00,+0130.0,+0050.0,+000.0
1670519271.991648,+80.0000,+126.213,+000.00,+0130.0,+0050.0,+000.0
1670519277.062979,+80.0000,+126.192,+000.00,+0130.0,+0050.0,+000.0
1670519282.143904,+80.0000,+126.140,+000.00,+0130.0,+0050.0,+000.0
1670519287.215323,+80.0000,+126.136,+000.00,+0130.0,+0050.0,+000.0
1670519292.285652,+80.0000,+126.152,+000.00,+0130.0,+0050.0,+000.0
1670519297.365993,+80.0000,+126.140,+005.00,+0130.0,+0050.0,+000.0
1670519302.438034,+80.0000,+126.085,+005.00,+0130.0,+0050.0,+000.0
1670519307.519045,+80.0000,+126.136,+005.00,+0130.0,+0050.0,+000.0
1670519312.590230,+80.0000,+126.179,+005.00,+0130.0,+0050.0,+000.0
1670519317.661372,+80.0000,+126.189,+005.00,+0130.0,+0050.0,+000.0
1670519322.742545,+80.0000,+126.193,+005.00,+0130.0,+0050.0,+000.0
1670519327.823356,+80.0000,+126.209,+005.00,+0130.0,+0050.0,+000.0
1670519332.884715,+80.0000,+126.212,+005.00,+0130.0,+0050.0,+000.0
1670519337.965361,+80.0000,+126.183,+005.00,+0130.0,+0050.0,+000.0
1670519343.045682,+80.0000,+126.188,+005.00,+0130.0,+0050.0,+000.0
1670519348.116905,+80.0000,+126.137,+005.00,+0130.0,+0050.0,+000.0
1670519353.187775,+80.0000,+126.166,+005.00,+0130.0,+0050.0,+000.0
1670519358.268775,+80.0000,+126.182,+005.00,+0130.0,+0050.0,+000.0
1670519363.350054,+80.0000,+126.209,+005.00,+0130.0,+0050.0,+000.0
1670519368.432209,+80.0000,+126.223,+005.00,+0130.0,+0050.0,+000.0
1670519373.492509,+80.0000,+126.245,+005.00,+0130.0,+0050.0,+000.0
1670519378.572716,+80.0000,+126.233,+126.229,+0130.0,+0050.0,+000.0
1670519383.673707,+80.0000,+126.225,+005.00,+0130.0,+0050.0,+000.0
1670519388.745697,+80.0000,+126.255,+005.00,+0130.0,+0050.0,+000.0
1670519393.816134,+80.0000,+126.244,+005.00,+0130.0,+0050.0,+000.0
1670519398.877326,+80.0000,+126.265,+005.00,+0130.0,+0050.0,+000.0
1670519403.977940,+80.0000,+126.225,+005.00,+0130.0,+0050.0,+000.0
1670519409.067244,+80.0000,+126.247,+005.00,+0130.0,+0050.0,+000.0
1670519414.150100,+80.0000,+126.265,+005.00,+0130.0,+0050.0,+000.0
1670519419.231866,+80.0000,+126.275,+005.00,+0130.0,+0050.0,+000.0
1670519424.292848,+80.0000,+126.284,+005.00,+0130.0,+0050.0,+000.0
1670519429.363688,+80.0000,+126.290,+005.00,+0130.0,+0050.0,+000.0
1670519434.434596,+80.0000,+126.310,+005.00,+0130.0,+0050.0,+000.0
1670519439.535992,+80.0000,+126.193,+005.00,+0130.0,+0050.0,+000.0
1670519444.607019,+80.0000,+126.241,+005.00,+0130.0,+0050.0,+000.0
1670519449.678030,+80.0000,+126.273,+005.00,+0130.0,+0050.0,+000.0
1670519454.749044,+80.0000,+126.294,+005.00,+0130.0,+0050.0,+000.0
1670519459.819537,+80.0000,+126.305,+005.00,+0130.0,+0050.0,+000.0
1670519464.891065,+80.0000,+126.328,+005.00,+0130.0,+0050.0,+000.0
1670519469.961870,+80.0000,+126.092,+005.00,+0130.0,+0050.0,+000.0
1670519475.032879,+80.0000,+126.170,+005.00,+0130.0,+0050.0,+000.0
1670519480.103300,+80.0000,+126.098,+005.00,+0130.0,+0050.0,+000.0
1670519485.174703,+80.0000,+126.177,+005.00,+0130.0,+0050.0,+000.0
1670519490.245692,+80.0000,+126.213,+005.00,+0130.0,+0050.0,+000.0
1670519495.326480,+80.0000,+126.240,+005.00,+0130.0,+0050.0,+000.0
1670519500.408371,+80.0000,+126.270,+005.00,+0130.0,+0050.0,+000.0
1670519505.488573,+80.0000,+126.293,+005.00,+0130.0,+0050.0,+000.0
1670519510.570447,+80.0000,+126.299,+005.00,+0130.0,+0050.0,+000.0
1670519515.640644,+80.0000,+126.231,+005.00,+0130.0,+0050.0,+000.0
1670519520.712287,+80.0000,+126.275,+005.00,+0130.0,+0050.0,+000.0
1670519525.792957,+80.0000,+126.251,+005.00,+0130.0,+0050.0,+000.0
1670519530.874597,+80.0000,+126.288,+005.00,+0130.0,+0050.0,+000.0
1670519535.945730,+80.0000,+125.698,+005.00,+0130.0,+0050.0,+000.0
1670519541.016527,+80.0000,+125.725,+005.00,+0130.0,+0050.0,+000.0
1670519546.087558,+80.0000,+125.662,+005.00,+0130.0,+0050.0,+000.0
1670519551.168496,+80.0000,+125.812,+005.00,+0130.0,+0050.0,+000.0
1670519556.239678,+80.0000,+125.861,+005.00,+0130.0,+0050.0,+000.0
1670519561.330003,+80.0000,+125.930,+005.00,+0130.0,+0050.0,+000.0
1670519566.391810,+80.0000,+125.961,+005.00,+0130.0,+0050.0,+000.0
1670519571.472731,+80.0000,+126.042,+005.00,+0130.0,+0050.0,+000.0
1670519576.543885,+80.0000,+126.083,+005.00,+0130.0,+0050.0,+000.0
1670519581.614640,+80.0000,+126.064,+005.00,+0130.0,+0050.0,+000.0
1670519586.699823,+80.0000,+126.118,+005.00,+0130.0,+0050.0,+000.0
1670519591.785980,+80.0000,+126.160,+005.00,+0130.0,+0050.0,+000.0
1670519596.868201,+80.0000,+126.169,+005.00,+0130.0,+0050.0,+000.0
1670519601.949162,+80.0000,+126.171,+005.00,+0130.0,+0050.0,+000.0
1670519607.009947,+80.0000,+126.094,+005.00,+0130.0,+0050.0,+000.0
1670519612.090319,+80.0000,+126.021,+005.00,+0130.0,+0050.0,+000.0
1670519617.171963,+80.0000,+126.098,+005.00,+0130.0,+0050.0,+000.0
1670519622.243086,+80.0000,+126.151,+005.00,+0130.0,+0050.0,+000.0
1670519627.341953,+80.0000,+126.090,+005.00,+0130.0,+0050.0,+000.0
1670519632.445114,+80.0000,+126.154,+005.00,+0130.0,+0050.0,+000.0
1670519637.516318,+80.0000,+126.149,+005.00,+0130.0,+0050.0,+000.0
1670519642.607241,+80.0000,+126.156,+005.00,+0130.0,+0050.0,+000.0
1670519647.703199,+80.0000,+126.159,+005.00,+0130.0,+0050.0,+000.0
1670519652.838533,+80.0000,+126.192,+005.00,+0130.0,+0050.0,+000.0
1670519657.909707,+80.0000,+126.174,+005.00,+0130.0,+0050.0,+000.0
1670519663.020962,+80.0000,+126.181,+005.00,+0130.0,+0050.0,+000.0
1670519668.122343,+80.0000,+126.225,+005.00,+0130.0,+0050.0,+000.0
1670519673.192811,+80.0000,+126.175,+005.00,+0130.0,+0050.0,+000.0
1670519678.275646,+80.0000,+126.178,+005.00,+0130.0,+0050.0,+000.0
1670519683.344951,+80.0000,+126.220,+005.00,+0130.0,+0050.0,+000.0
1670519688.405480,+80.0000,+126.254,+005.00,+0130.0,+0050.0,+000.0
1670519693.491273,+80.0000,+126.278,+005.00,+0130.0,+0050.0,+000.0
1670519698.557896,+80.0000,+126.297,+005.00,+0130.0,+0050.0,+000.0
1670519703.640525,+80.0000,+126.295,+005.00,+0130.0,+0050.0,+000.0
1670519708.710142,+80.0000,+126.308,+005.00,+0130.0,+0050.0,+000.0
1670519713.773191,+80.0000,+126.321,+005.00,+0130.0,+0050.0,+000.0
1670519718.851864,+80.0000,+126.318,+005.00,+0130.0,+0050.0,+000.0
1670519723.923294,+80.0000,+126.328,+005.00,+0130.0,+0050.0,+000.0
1670519728.994479,+80.0000,+126.326,+005.00,+0130.0,+0050.0,+000.0
1670519734.075324,+80.0000,+126.337,+005.00,+0130.0,+0050.0,+000.0
1670519739.145940,+80.0000,+126.348,+005.00,+0130.0,+0050.0,+000.0
1670519744.250298,+80.0000,+126.353,+005.00,+0130.0,+0050.0,+000.0
1670519749.348295,+80.0000,+126.365,+005.00,+0130.0,+0050.0,+000.0
1670519754.419230,+80.0000,+126.351,+005.00,+0130.0,+0050.0,+000.0
1670519759.490971,+80.0000,+126.355,+005.00,+0130.0,+0050.0,+000.0
1670519764.561181,+80.0000,+126.365,+005.00,+0130.0,+0050.0,+000.0
1670519769.632840,+80.0000,+126.338,+005.00,+0130.0,+0050.0,+000.0
1670519774.714117,+80.0000,+126.264,+005.00,+0130.0,+0050.0,+000.0
1670519779.795320,+80.0000,+126.280,+010.00,+0130.0,+0050.0,+000.0
1670519784.865713,+80.0000,+126.332,+010.00,+0130.0,+0050.0,+000.0
1670519789.957176,+80.0000,+126.324,+010.00,+0130.0,+0050.0,+000.0
1670519795.019842,+80.0000,+126.403,+010.00,+0130.0,+0050.0,+000.0
1670519800.093858,+80.0000,+126.471,+010.00,+0130.0,+0050.0,+000.0
1670519805.189107,+80.0000,+126.527,+010.00,+0130.0,+0050.0,+000.0
1670519810.263577,+80.0000,+126.558,+010.00,+0130.0,+0050.0,+000.0
1670519815.351328,+80.0000,+126.552,+010.00,+0130.0,+0050.0,+000.0
1670519820.422640,+80.0000,+126.595,+010.00,+0130.0,+0050.0,+000.0
1670519825.503893,+80.0000,+126.615,+010.00,+0130.0,+0050.0,+000.0
1670519830.594858,+80.0000,+126.660,+010.00,+0130.0,+0050.0,+000.0
1670519835.666038,+80.0000,+126.704,+010.00,+0130.0,+0050.0,+000.0
1670519840.736495,+80.0000,+126.659,+010.00,+0130.0,+0050.0,+000.0
1670519845.808048,+80.0000,+126.724,+010.00,+0130.0,+0050.0,+000.0
1670519850.888586,+80.0000,+126.568,+010.00,+0130.0,+0050.0,+000.0
1670519855.970226,+80.0000,+126.678,+010.00,+0130.0,+0050.0,+000.0
1670519861.041960,+80.0000,+126.731,+010.00,+0130.0,+0050.0,+000.0
1670519866.141474,+80.0000,+126.790,+010.00,+0130.0,+0050.0,+000.0
1670519871.223271,+80.0000,+126.812,+010.00,+0130.0,+0050.0,+000.0
1670519876.303824,+80.0000,+126.851,+010.00,+0130.0,+0050.0,+000.0
1670519881.375294,+80.0000,+126.896,+010.00,+0130.0,+0050.0,+000.0
1670519886.445526,+80.0000,+126.930,+010.00,+0130.0,+0050.0,+000.0
1670519891.527360,+80.0000,+126.937,+010.00,+0130.0,+0050.0,+000.0
1670519896.608609,+80.0000,+126.866,+010.00,+0130.0,+0050.0,+000.0
1670519901.678746,+80.0000,+126.911,+010.00,+0130.0,+0050.0,+000.0
1670519906.739993,+80.0000,+126.879,+010.00,+0130.0,+0050.0,+000.0
1670519911.821622,+80.0000,+126.685,+010.00,+0130.0,+0050.0,+000.0
1670519916.902932,+80.0000,+126.812,+010.00,+0130.0,+0050.0,+000.0
1670519921.973695,+126.867,+80.0000,+126.867,+0130.0,+0050.0,+000.0
1670519927.084709,+80.0000,+126.924,+010.00,+0130.0,+0050.0,+000.0
1670519932.165869,+80.0000,+126.963,+010.00,+0130.0,+0050.0,+000.0
1670519937.236818,+80.0000,+127.026,+010.00,+0130.0,+0050.0,+000.0
1670519942.317403,+80.0000,+127.003,+010.00,+0130.0,+0050.0,+000.0
1670519947.398551,+80.0000,+127.071,+010.00,+0130.0,+0050.0,+000.0
1670519952.479449,+80.0000,+127.123,+010.00,+0130.0,+0050.0,+000.0
1670519957.551138,+80.0000,+127.151,+010.00,+0130.0,+0050.0,+000.0
1670519962.621542,+80.0000,+127.192,+010.00,+0130.0,+0050.0,+000.0
1670519967.702773,+80.0000,+127.219,+010.00,+0130.0,+0050.0,+000.0
1670519972.783965,+80.0000,+127.234,+010.00,+0130.0,+0050.0,+000.0
1670519977.864993,+80.0000,+127.254,+010.00,+0130.0,+0050.0,+000.0
1670519982.936252,+80.0000,+127.282,+010.00,+0130.0,+0050.0,+000.0
1670519988.006662,+80.0000,+127.311,+010.00,+0130.0,+0050.0,+000.0
1670519993.078042,+80.0000,+127.340,+010.00,+0130.0,+0050.0,+000.0
1670519998.148993,+80.0000,+127.347,+010.00,+0130.0,+0050.0,+000.0
1670520003.230253,+80.0000,+127.375,+010.00,+0130.0,+0050.0,+000.0
1670520008.311355,+80.0000,+127.383,+010.00,+0130.0,+0050.0,+000.0
1670520013.382310,+80.0000,+127.254,+010.00,+0130.0,+0050.0,+000.0
1670520018.453364,+80.0000,+127.336,+010.00,+0130.0,+0050.0,+000.0
1670520023.524452,+80.0000,+127.390,+010.00,+0130.0,+0050.0,+000.0
1670520028.607363,+80.0000,+127.433,+010.00,+0130.0,+0050.0,+000.0
1670520033.696381,+80.0000,+127.433,+010.00,+0130.0,+0050.0,+000.0
1670520038.758667,+80.0000,+127.460,+010.00,+0130.0,+0050.0,+000.0
1670520043.838379,+80.0000,+127.412,+010.00,+0130.0,+0050.0,+000.0
1670520048.899068,+80.0000,+127.448,+010.00,+0130.0,+0050.0,+000.0
1670520053.980528,+80.0000,+127.487,+010.00,+0130.0,+0050.0,+000.0
1670520059.050635,+80.0000,+127.528,+010.00,+0130.0,+0050.0,+000.0
1670520064.112591,+80.0000,+127.551,+010.00,+0130.0,+0050.0,+000.0
1670520069.182455,+80.0000,+127.587,+010.00,+0130.0,+0050.0,+000.0
1670520074.244312,+80.0000,+127.631,+010.00,+0130.0,+0050.0,+000.0
1670520079.326723,+80.0000,+127.670,+010.00,+0130.0,+0050.0,+000.0
1670520084.409228,+80.0000,+127.671,+010.00,+0130.0,+0050.0,+000.0
1670520089.477383,+80.0000,+127.707,+010.00,+0130.0,+0050.0,+000.0
1670520094.558715,+80.0000,+127.698,+010.00,+0130.0,+0050.0,+000.0
