Time(s),SetTemp(K),Temp(K),HeatPower,P,I,D
0.000000,+130.197,+100.000,+000.0,+0067.3,+0048.5,+100.0
2.318945,+100.000,+129.593,+000.0,+0067.3,+0048.5,+100.0
4.469430,+100.000,+129.021,+000.0,+0067.3,+0048.5,+100.0
6.589818,+100.000,+128.483,+000.0,+0067.3,+0048.5,+100.0
8.669831,+100.000,+127.961,+000.0,+0067.3,+0048.5,+100.0
10.740604,+100.000,+127.432,+000.0,+0067.3,+0048.5,+100.0
12.830176,+100.000,+126.924,+000.0,+0067.3,+0048.5,+100.0
14.901382,+100.000,+126.461,+000.0,+0067.3,+0048.5,+100.0
16.981958,+100.000,+125.981,+000.0,+0067.3,+0048.5,+100.0
19.052212,+100.000,+125.515,+000.0,+0067.3,+0048.5,+100.0
21.122166,+100.000,+125.058,+000.0,+0067.3,+0048.5,+100.0
23.183255,+100.000,+124.639,+000.0,+0067.3,+0048.5,+100.0
25.263178,+100.000,+124.196,+000.0,+0067.3,+0048.5,+100.0
27.384057,+100.000,+123.758,+000.0,+0067.3,+0048.5,+100.0
29.484454,+100.000,+123.350,+000.0,+0067.3,+0048.5,+100.0
31.555155,+100.000,+122.943,+000.0,+0067.3,+0048.5,+100.0
33.624961,+100.000,+122.551,+000.0,+0067.3,+0048.5,+100.0
35.695086,+100.000,+122.190,+000.0,+0067.3,+0048.5,+100.0
37.775533,+100.000,+121.807,+000.0,+0067.3,+0048.5,+100.0
39.855647,+100.000,+121.435,+000.0,+0067.3,+0048.5,+100.0
41.926276,+100.000,+121.089,+000.0,+0067.3,+0048.5,+100.0
43.996998,+100.000,+120.746,+000.0,+0067.3,+0048.5,+100.0
46.067406,+100.000,+120.410,+000.0,+0067.3,+0048.5,+100.0
48.148589,+100.000,+120.083,+000.0,+0067.3,+0048.5,+100.0
50.228314,+100.000,+119.754,+000.0,+0067.3,+0048.5,+100.0
52.368369,+100.000,+119.429,+000.0,+0067.3,+0048.5,+100.0
54.479329,+100.000,+119.127,+000.0,+0067.3,+0048.5,+100.0
56.589521,+100.000,+118.817,+000.0,+0067.3,+0048.5,+100.0
58.663565,+100.000,+118.524,+000.0,+0067.3,+0048.5,+100.0
60.750481,+100.000,+118.231,+000.0,+0067.3,+0048.5,+100.0
62.820722,+100.000,+117.946,+000.0,+0067.3,+0048.5,+100.0
64.920705,+100.000,+117.665,+000.0,+0067.3,+0048.5,+100.0
67.001004,+100.000,+117.403,+000.0,+0067.3,+0048.5,+100.0
69.081337,+100.000,+117.138,+000.0,+0067.3,+0048.5,+100.0
71.151475,+100.000,+116.868,+000.0,+0067.3,+0048.5,+100.0
73.211929,+100.000,+116.621,+000.0,+0067.3,+0048.5,+100.0
75.312733,+100.000,+116.331,+000.0,+0067.3,+0048.5,+100.0
77.422452,+100.000,+116.095,+000.0,+0067.3,+0048.5,+100.0
79.503592,+100.000,+115.860,+000.0,+0067.3,+0048.5,+100.0
81.584198,+100.000,+115.607,+000.0,+0067.3,+0048.5,+100.0
83.664335,+100.000,+115.369,+000.0,+0067.3,+0048.5,+100.0
85.735078,+100.000,+115.146,+000.0,+0067.3,+0048.5,+100.0
87.824691,+100.000,+114.894,+000.0,+0067.3,+0048.5,+100.0
89.905823,+100.000,+114.688,+000.0,+0067.3,+0048.5,+100.0
91.975900,+100.000,+114.465,+000.0,+0067.3,+0048.5,+100.0
94.066507,+100.000,+114.234,+000.0,+0067.3,+0048.5,+100.0
96.127095,+100.000,+114.026,+000.0,+0067.3,+0048.5,+100.0
98.206923,+100.000,+113.836,+000.0,+0067.3,+0048.5,+100.0
100.307118,+100.000,+113.607,+000.0,+0067.3,+0048.5,+100.0
102.418267,+100.000,+113.409,+000.0,+0067.3,+0048.5,+100.0
104.505867,+100.000,+113.199,+000.0,+0067.3,+0048.5,+100.0
106.608371,+100.000,+112.990,+000.0,+0067.3,+0048.5,+100.0
108.688544,+100.000,+112.797,+000.0,+0067.3,+0048.5,+100.0
110.759277,+100.000,+112.587,+000.0,+0067.3,+0048.5,+100.0
112.819590,+100.000,+112.394,+000.0,+0067.3,+0048.5,+100.0
114.920664,+100.000,+112.212,+000.0,+0067.3,+0048.5,+100.0
117.000415,+100.000,+112.036,+000.0,+0067.3,+0048.5,+100.0
119.071399,+100.000,+111.840,+000.0,+0067.3,+0048.5,+100.0
121.151981,+100.000,+111.639,+000.0,+0067.3,+0048.5,+100.0
123.232001,+100.000,+111.464,+000.0,+0067.3,+0048.5,+100.0
125.361736,+100.000,+111.270,+000.0,+0067.3,+0048.5,+100.0
127.462082,+100.000,+111.100,+000.0,+0067.3,+0048.5,+100.0
129.553429,+100.000,+110.922,+000.0,+0067.3,+0048.5,+100.0
131.613395,+100.000,+110.759,+000.0,+0067.3,+0048.5,+100.0
133.703809,+100.000,+110.577,+000.0,+0067.3,+0048.5,+100.0
